benchexpr10 , yes , aprove , 0 , 8.62 , 10076 , 1776
benchexpr20 , yes , aprove , 0 , 8.72 , 10076 , 1796
benchexpr22 , yes , aprove , 0 , 8.82 , 10076 , 1736
benchsym10 , yes , aprove , 0 , 9.12 , 10076 , 1740
benchsym20 , yes , aprove , 0 , 9.02 , 10076 , 1912
benchsym22 , yes , aprove , 0 , 9.61 , 10076 , 1728
benchtree10 , yes , aprove , 0 , 8.71 , 10076 , 1728
benchtree20 , yes , aprove , 0 , 9.22 , 10076 , 1904
benchtree22 , yes , aprove , 0 , 9.11 , 10076 , 1740
binarysearch , unknown+crash , aprove , timeout , 3660.43 , 10076 , 1856
bubblesort10 , yes , aprove , 0 , 4.71 , 10076 , 1796
bubblesort20 , yes , aprove , 0 , 4.61 , 10076 , 1736
bubblesort100 , yes , aprove , 0 , 4.41 , 10076 , 1844
bubblesort720 , yes , aprove , 0 , 4.61 , 10076 , 1912
bubblesort1000 , yes , aprove , 0 , 4.62 , 10076 , 1884
dart , yes , aprove , 0 , 5.42 , 10076 , 1912
evalexpr , unknown+crash , aprove , timeout , 3614.27 , 10076 , 1728
evalsym , yes , aprove , 0 , 6.31 , 10076 , 1856
evaltree , yes , aprove , 0 , 6.31 , 10076 , 1884
factorial5 , yes , aprove , 0 , 3.61 , 10076 , 1732
factorial6 , yes , aprove , 0 , 3.40 , 10076 , 1904
factorial7 , yes , aprove , 0 , 3.51 , 10076 , 1912
factorial8 , yes , aprove , 0 , 3.41 , 10076 , 1732
factorial9 , yes , aprove , 0 , 3.51 , 10076 , 1844
fib32 , unknown+crash , aprove , timeout , 3600.37 , 10076 , 1740
fibfree , unknown+crash , aprove , timeout , 3737.91 , 10076 , 1916
fibonacci05 , yes , aprove , 0 , 3.71 , 10076 , 1896
fibonacci18 , yes , aprove , 0 , 3.61 , 10076 , 1852
fibonacci19 , yes , aprove , 0 , 3.71 , 10076 , 1856
fibonacci20 , yes , aprove , 0 , 3.60 , 10076 , 1840
fibonacci21 , yes , aprove , 0 , 3.51 , 10076 , 1856
hanoi8 , unknown+crash , aprove , timeout , 3627.21 , 10076 , 1912
hanoi12 , unknown+crash , aprove , timeout , 3618.12 , 10076 , 1908
hanoi16 , unknown+crash , aprove , timeout , 3653.55 , 10076 , 1908
hanoi20 , unknown+crash , aprove , timeout , 3732.87 , 10076 , 1800
langton6 , yes , aprove , 0 , 5.41 , 10076 , 1856
langton7 , yes , aprove , 0 , 5.21 , 10076 , 1884
logic3 , yes , aprove , 0 , 4.31 , 10076 , 1800
maa , unknown+crash , aprove , timeout , 3631.81 , 10076 , 1896
merge , yes , aprove , 0 , 9.42 , 10076 , 1884
mergesort10 , yes , aprove , 0 , 5.71 , 10076 , 1856
mergesort100 , yes , aprove , 0 , 5.91 , 10076 , 1920
mergesort1000 , yes , aprove , 0 , 5.91 , 10076 , 1900
missionaries2 , unknown+crash , aprove , timeout , 3719.18 , 10076 , 1856
missionaries3 , unknown+crash , aprove , timeout , 4000.49 , 10076 , 1780
permutations6 , yes , aprove , 0 , 4.11 , 10076 , 1916
permutations7 , yes , aprove , 0 , 3.82 , 10076 , 1900
quicksort10 , yes , aprove , 0 , 7.82 , 10076 , 1912
quicksort100 , yes , aprove , 0 , 7.92 , 10076 , 1780
quicksort1000 , yes , aprove , 0 , 7.82 , 10076 , 1780
revnat100 , yes , aprove , 0 , 3.50 , 10076 , 1732
revnat1000 , yes , aprove , 0 , 3.61 , 10076 , 1796
revnat10000 , yes , aprove , 0 , 3.50 , 10076 , 1916
sieve20 , unknown+crash , aprove , timeout , 3651.77 , 10076 , 1732
sieve100 , unknown+crash , aprove , timeout , 3651.84 , 10076 , 1800
sieve1000 , unknown+crash , aprove , timeout , 3686.16 , 10076 , 1736
sieve2000 , unknown+crash , aprove , timeout , 3738.13 , 10076 , 1904
sieve10000 , unknown+crash , aprove , timeout , 3600.38 , 10076 , 1852
tak18 , unknown+crash , aprove , timeout , 14321.11 , 10076 , 1884
tak36 , unknown+crash , aprove , timeout , 3693.06 , 10076 , 1900
