tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
haskell , 53 , 0 , 0 , 3 , 94.6% , 677.06 , 380464 , 264496
lnt , 49 , 7 , 0 , 0 , 87.5% , 486.03 , 219744 , 98236
lotos , 49 , 7 , 0 , 0 , 87.5% , 456.35 , 219744 , 99016
maude , 49 , 2 , 1 , 4 , 87.5% , 1007.75 , 191184 , 72180
mcrl2 , 33 , 0 , 8 , 15 , 58.9% , 2569.05 , 344288 , 226124
mcrl2-jittyc , 37 , 0 , 8 , 11 , 66.1% , 2185.57 , 369040 , 247084
ocaml , 41 , 2 , 0 , 13 , 73.2% , 2132.9 , 340480 , 224240
opal , 51 , 0 , 3 , 2 , 91.1% , 786.04 , 384272 , 268300
rascal , 29 , 1 , 0 , 26 , 51.8% , 3942.66 , 219744 , 98676
scala , 40 , 2 , 0 , 14 , 71.4% , 2808.25 , 431640 , 310572
sml-mlton , 40 , 5 , 0 , 11 , 71.4% , 2026.4 , 379884 , 262480
sml-smlnj , 40 , 5 , 0 , 11 , 71.4% , 2010.82 , 219744 , 97912
tom , 41 , 1 , 0 , 14 , 73.2% , 2945.84 , 439488 , 318000
