model , clean , haskell , lnt , lotos , maude , mcrl2-default , mcrl2-jittyc , ocaml , opal , rascal-compil , rascal-interp , scala , sml-mlton , sml-smlnj , stratego , tom , 
add8 , FL ,  ,  ,  ,  , TO , TO ,  , TO , TO , TO , FL ,  , TO , TO , TO 
add16 , FL ,  ,  ,  ,  , TO , TO ,  , TO , TO , TO , FL ,  , TO , TO , TO 
add32 , KL ,  ,  ,  ,  , TO , TO ,  , TO , TO , TO , FL ,  , TO , TO , TO 
benchexpr10 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
benchexpr20 , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO ,  ,  ,  ,  ,  
benchexpr22 , FL ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  
benchsym10 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
benchsym20 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  
benchsym22 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  
benchtree10 , TO ,  , FL , FL ,  , TO ,  ,  ,  , TO , TO , TO ,  ,  , TO , TO 
benchtree20 , TO ,  , FL , FL ,  , TO , TO , TO ,  , TO , TO , TO , TO , TO , TO , TO 
benchtree22 , TO ,  , FL , FL ,  , TO , TO , TO ,  , TO , TO , TO , TO , TO , TO , TO 
binarysearch ,  ,  ,  ,  ,  , TO ,  ,  ,  , TO , TO ,  , FL , FL ,  ,  
bubblesort10 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
bubblesort20 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
bubblesort100 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
bubblesort720 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  
bubblesort1000 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  
dart , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  
evalexpr , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO ,  ,  ,  ,  ,  
evalsym ,  ,  ,  ,  , TO , TO ,  ,  ,  , TO , TO ,  ,  ,  , TO ,  
evaltree , FL ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  
factorial5 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
factorial6 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
factorial7 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
factorial8 , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  
factorial9 , FL ,  ,  ,  ,  , KL ,  , FL ,  ,  ,  , TO ,  ,  , FL ,  
fib32 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  , FL , FL ,  ,  
fibfree ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
fibonacci05 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
fibonacci18 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
fibonacci19 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
fibonacci20 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  
fibonacci21 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  
hanoi8 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
hanoi12 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  
hanoi16 , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO ,  ,  , FL ,  
