tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 39 , 21 , 2 , 7 , 56.5% , 2630.04 , 1046056 , 663488
haskell , 67 , 0 , 0 , 2 , 97.1% , 2099.14 , 1162640 , 754780
lnt , 62 , 7 , 0 , 0 , 89.9% , 3110.15 , 695244 , 126728
lotos , 62 , 7 , 0 , 0 , 89.9% , 2886.9 , 695244 , 125380
maude , 66 , 0 , 0 , 3 , 95.7% , 2125.53 , 569328 , 89636
mcrl2-default , 45 , 0 , 2 , 22 , 65.2% , 9906.51 , 940044 , 438180
mcrl2-jittyc , 52 , 0 , 0 , 17 , 75.4% , 8070.83 , 1023988 , 454720
ocaml , 59 , 2 , 0 , 8 , 85.5% , 4110.62 , 1012740 , 570292
opal , 58 , 0 , 0 , 11 , 84.1% , 4626.34 , 1109848 , 667828
rascal-compil , 38 , 0 , 0 , 31 , 55.1% , 14162.3 , 1299804 , 726628
rascal-interp , 39 , 0 , 0 , 30 , 56.5% , 12248.5 , 695244 , 121924
scala , 51 , 5 , 0 , 13 , 73.9% , 7196.23 , 1330032 , 757192
sml-mlton , 57 , 5 , 0 , 7 , 82.6% , 4969.3 , 1162144 , 709768
sml-smlnj , 51 , 5 , 0 , 13 , 73.9% , 5631.59 , 695244 , 122524
stratego , 48 , 0 , 0 , 21 , 69.6% , 9001.39 , 695244 , 122840
tom-a , 52 , 0 , 0 , 17 , 75.4% , 8039.13 , 1299804 , 726820
tom-b , 61 , 0 , 0 , 8 , 88.4% , 5943.51 , 1390488 , 817812
