model , clean , haskell , lnt , lotos , maude , mcrl2-default , mcrl2-jittyc , ocaml , opal , rascal-compil , rascal-interp , scala , sml-mlton , sml-smlnj , stratego , tom-a , tom-b , 
add8 , KL ,  ,  ,  ,  , TO , TO ,  , TO , TO , TO , FL ,  , TO , TO , FL , FL 
add16 , KL ,  ,  ,  ,  , TO , TO ,  , TO , TO , TO , FL ,  , TO , TO , TO , FL 
add32 , KL ,  ,  ,  ,  , TO , TO ,  , TO , TO , TO , FL ,  , TO , TO , TO , FL 
benchexpr10 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
benchexpr20 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO ,  ,  ,  ,  ,  ,  
benchexpr22 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
benchsym10 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
benchsym20 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
benchsym22 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
benchtree10 ,  ,  , FL , FL ,  , TO , TO , TO ,  , TO , TO , TO ,  ,  , TO , TO , TO 
benchtree20 ,  ,  , FL , FL ,  , TO , TO , TO ,  , TO , TO , TO , TO , TO , TO , TO , TO 
benchtree22 ,  ,  , FL , FL , KL , TO , TO , TO ,  , TO , TO , TO , TO , TO , TO , TO , TO 
binarysearch ,  ,  ,  ,  ,  , TO ,  ,  ,  , TO , TO ,  , FL , FL ,  ,  ,  
bubblesort10 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
bubblesort20 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
bubblesort100 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
bubblesort720 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
bubblesort1000 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
dart ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
