model , clean , haskell , lnt , lotos , maude , mcrl2-default , mcrl2-jittyc , ocaml , opal , rascal-compil , rascal-interp , scala , sml-mlton , sml-smlnj , stratego , tom-a , tom-b , 
add8 , FL ,  ,  ,  ,  , TO , TO ,  , TO , TO , TO , FL ,  , TO , FL , TO , TO 
add16 , KL ,  ,  ,  ,  , TO , TO ,  , TO , TO ,  , FL ,  , TO , FL , TO ,  
add32 , FL ,  ,  ,  ,  , TO , TO ,  , TO , TO , TO , FL ,  , TO , FL , TO ,  
benchexpr10 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
benchexpr20 , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO ,  ,  ,  , FL ,  ,  
benchexpr22 , FL ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  , FL ,  ,  
benchsym10 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
benchsym20 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  , FL ,  ,  
benchsym22 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  , FL ,  ,  
benchtree10 , TO ,  , FL , FL ,  , TO ,  ,  ,  , TO , TO , TO ,  ,  , FL , TO , TO 
benchtree20 , TO ,  , FL , FL ,  , TO , TO , TO ,  , TO , TO , TO , TO , TO , FL , TO , TO 
benchtree22 , TO ,  , FL , FL ,  , TO , TO , TO ,  , TO , TO , TO , TO , TO , FL , TO , TO 
binarysearch ,  ,  ,  ,  ,  , TO ,  ,  ,  , TO , TO ,  , FL , FL , FL ,  ,  
bubblesort10 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
bubblesort20 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
bubblesort100 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
bubblesort720 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  , FL ,  ,  
bubblesort1000 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  , FL ,  ,  
dart , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
evalexpr , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO ,  ,  ,  , FL ,  ,  
evalsym ,  ,  ,  ,  , TO , TO ,  ,  ,  , TO , TO ,  ,  ,  , FL ,  ,  
evaltree , FL ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  , FL ,  ,  
factorial5 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
factorial6 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
factorial7 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
factorial8 , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
factorial9 , FL ,  ,  ,  ,  , KL ,  , FL ,  ,  ,  , TO ,  ,  , FL ,  ,  
fib32 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  , FL , FL , FL ,  ,  
fibfree ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
fibonacci05 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
fibonacci18 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
fibonacci19 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
fibonacci20 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
fibonacci21 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
hanoi8 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
hanoi12 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
hanoi16 , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO ,  ,  , FL ,  ,  
hanoi20 , FL ,  ,  ,  ,  , KL ,  , FL ,  ,  ,  , TO ,  ,  , FL ,  ,  
intnat ,  ,  ,  ,  ,  , TO , TO ,  , TO , TO ,  ,  ,  ,  , FL ,  ,  
langton6 , KL , TO ,  ,  ,  , TO ,  ,  ,  , TO , TO ,  ,  ,  , FL ,  ,  
langton7 , KL , TO ,  ,  , TO , TO ,  , TO ,  , TO , TO ,  ,  ,  , FL , TO , TO 
logic3 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
maa , FL ,  ,  ,  ,  ,  ,  ,  , TO , TO , TO ,  ,  ,  , FL , TO ,  
mergesort10 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
mergesort100 , TO ,  , FL , FL ,  , TO , TO , TO ,  , TO , TO , TO , TO , TO , FL , TO , TO 
mergesort1000 , TO ,  , FL , FL ,  , TO , TO , TO ,  , TO , TO , TO , TO , TO , FL , TO , TO 
merge ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL , FL , FL ,  ,  
missionaries2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL , FL , FL ,  ,  
missionaries3 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL , FL , FL ,  ,  
mul8 , FL ,  ,  ,  ,  , TO , TO ,  , TO , TO ,  ,  , TO ,  , FL , TO ,  
mul16 , FL ,  ,  ,  ,  , TO , TO ,  , TO , TO , TO , FL ,  , TO , FL , TO ,  
mul32 , FL ,  ,  ,  ,  , TO , TO ,  , TO , TO , TO , FL ,  , TO , FL , TO ,  
natlist ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  , FL ,  ,  , FL , FL , FL 
omul8 , FL ,  ,  ,  ,  , TO , TO ,  , TO , TO ,  ,  ,  ,  , FL , TO ,  
omul32 , FL ,  ,  ,  ,  , TO , TO ,  , TO , TO , TO , FL ,  , TO , FL , TO ,  
permutations6 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
permutations7 , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
quicksort10 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
quicksort100 , TO ,  , FL , FL ,  , TO , TO , TO ,  , TO , TO , TO , TO , TO , FL , TO , TO 
quicksort1000 , TO ,  , FL , FL ,  , TO , TO , TO ,  , TO , TO , TO , TO , TO , FL , TO , TO 
revnat100 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
revnat1000 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
revnat10000 , FL ,  ,  ,  ,  , TO , TO ,  , KL ,  , TO , TO ,  , TO , FL ,  ,  
sieve20 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
sieve100 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
sieve1000 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
sieve2000 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  , FL ,  ,  
sieve10000 , FL ,  ,  ,  , TO , TO , TO , TO ,  , TO , TO , TO ,  ,  , FL ,  ,  
tak18 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  
tak36 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  , FL ,  ,  
