model , cafeobj-a , cafeobj-b , clean , clean-hack , haskell , lnt , lotos , maude , mcrl2-jitty , mcrl2-jittyc , ocaml-compil , ocaml-interp , opal , rascal-compil , rascal-interp , scala , sml-mlton , sml-smlnj , stratego , tom-a , tom-b , 
add8 ,  ,  , KL , FL ,  ,  ,  ,  , TO , TO ,  ,  , TO , TO , TO , FL ,  , TO , TO , FL , FL 
add16 ,  ,  , KL , FL ,  ,  ,  ,  , TO , TO ,  ,  , TO , TO , TO , TO ,  , TO , TO , TO ,  
add32 ,  ,  , KL , FL ,  ,  ,  ,  , TO , TO ,  ,  , TO , TO , TO , FL ,  , TO , TO , TO ,  
benchexpr10 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
benchexpr20 , FL , FL , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO ,  ,  ,  ,  ,  ,  
benchexpr22 , FL , FL , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
benchsym10 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
benchsym20 , FL , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
benchsym22 , FL , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
benchtree10 , FL , FL , FL ,  ,  , FL , FL ,  , TO , TO ,  , TO ,  , TO , TO , TO ,  ,  , TO , TO , TO 
benchtree20 , KL , KL , FL , TO ,  , FL , FL ,  , TO , TO , TO , TO ,  , TO , TO , TO , TO , TO , TO , TO , TO 
benchtree22 , KL , KL , FL , TO ,  , FL , FL ,  , TO , TO , TO , TO ,  , TO , TO , TO , TO , TO , TO , TO , TO 
binarysearch , FL ,  ,  ,  ,  ,  ,  ,  , TO ,  ,  ,  ,  , TO , TO ,  , FL , FL ,  ,  ,  
bubblesort10 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
bubblesort20 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
bubblesort100 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
bubblesort720 , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
bubblesort1000 , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
closure , FL , TO , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , FL ,  ,  ,  ,  ,  ,  ,  
dart , FL , FL , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
evalexpr , FL ,  , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO ,  ,  ,  ,  ,  ,  
evalsym , FL , FL ,  ,  ,  ,  ,  ,  , TO ,  ,  ,  ,  , TO , TO ,  ,  ,  , TO ,  ,  
evaltree , FL , KL , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
factorial5 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
factorial6 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
factorial7 ,  ,  , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
factorial8 , KL , KL , FL ,  ,  ,  ,  ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
factorial9 , KL , KL , FL ,  ,  ,  ,  ,  , KL , KL ,  , FL ,  , FL , FL , FL ,  ,  ,  ,  ,  
fib32 , FL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  , FL , FL ,  ,  ,  
fibfree ,  , TO ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
fibonacci18 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
