model , cafeobj-a , cafeobj-b , clean , clean-hack , haskell , lnt , lotos , maude , mcrl2-jitty , mcrl2-jittyc , ocaml-compil , ocaml-interp , opal , rascal-compil , rascal-interp , scala , sml-mlton , sml-smlnj , stratego , tom-a , tom-b , 
add8 ,  ,  , FL , FL ,  ,  ,  ,  , TO , TO ,  ,  , TO , TO , TO , FL ,  , TO , TO , TO , TO 
add16 ,  ,  , FL , FL ,  ,  ,  ,  , TO , TO ,  ,  , TO , TO ,  , FL ,  , TO , TO , TO ,  
add32 ,  ,  , FL , FL ,  ,  ,  ,  , TO , TO ,  ,  , TO , TO , TO , FL ,  , TO , TO , TO ,  
benchexpr10 ,  ,  ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
benchexpr20 , FL , FL , FL , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO ,  ,  ,  ,  ,  ,  
benchexpr22 , FL , FL , FL , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
benchsym10 ,  ,  ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
benchsym20 , FL , FL ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
benchsym22 , FL , FL ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
benchtree10 , FL , FL , TO , KL ,  , FL , FL ,  , TO ,  ,  ,  ,  , TO , TO , TO ,  ,  , TO , TO , TO 
benchtree20 , KL , KL , TO , KL ,  , FL , FL ,  , TO , TO , TO , TO ,  , TO , TO , TO , TO , TO , TO , TO , TO 
benchtree22 , KL , KL , TO , KL ,  , FL , FL ,  , TO , TO , TO , TO ,  , TO , TO , TO , TO , TO , TO , TO , TO 
binarysearch , FL ,  ,  , KL ,  ,  ,  ,  , TO ,  ,  ,  ,  , TO , TO ,  , FL , FL ,  ,  ,  
bubblesort10 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
bubblesort20 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
bubblesort100 ,  ,  ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
bubblesort720 , FL ,  ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
bubblesort1000 , FL ,  ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
closure , FL , TO ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  ,  ,  ,  ,  ,  ,  
