tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
cafeobj-a , 31 , 4 , 4 , 31 , 44.3% , 13954.1 , 705320 , 129736
cafeobj-b , 38 , 8 , 5 , 19 , 54.3% , 10181.5 , 705320 , 129172
clean , 40 , 21 , 2 , 7 , 57.1% , 2630.82 , 1060212 , 675008
clean-hack , 54 , 10 , 0 , 6 , 77.1% , 2698.13 , 1132164 , 697096
haskell , 68 , 0 , 0 , 2 , 97.1% , 2092.99 , 1176796 , 766044
lnt , 63 , 7 , 0 , 0 , 90.0% , 2971.77 , 705320 , 126884
lotos , 63 , 7 , 0 , 0 , 90.0% , 2788.71 , 705320 , 127580
maude , 67 , 0 , 0 , 3 , 95.7% , 2125.2 , 585400 , 92880
mcrl2-jitty , 46 , 0 , 2 , 22 , 65.7% , 9923.48 , 966192 , 457084
mcrl2-jittyc , 53 , 0 , 0 , 17 , 75.7% , 8087.95 , 1050136 , 473912
ocaml-compil , 64 , 0 , 0 , 6 , 91.4% , 2721.19 , 1182792 , 767736
ocaml-interp , 61 , 2 , 0 , 7 , 87.1% , 3851.87 , 888988 , 440796
opal , 59 , 0 , 1 , 10 , 84.3% , 4754.06 , 1124004 , 679444
rascal-compil , 36 , 2 , 2 , 30 , 51.4% , 13883.1 , 1267660 , 699592
rascal-interp , 39 , 0 , 2 , 29 , 55.7% , 11899.5 , 693328 , 125944
scala , 46 , 10 , 0 , 14 , 65.7% , 7129.96 , 1257832 , 710872
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 5056.2 , 1182296 , 724580
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5640.59 , 705320 , 128988
stratego , 49 , 0 , 0 , 21 , 70.0% , 9066.89 , 705320 , 129512
tom-a , 52 , 1 , 0 , 17 , 74.3% , 8012.58 , 1309880 , 733800
tom-b , 60 , 1 , 0 , 9 , 85.7% , 5972.32 , 1390488 , 814696
