asfsdfbenchmark , comp-exec , lotos , failed with exit status 1
binarysearch , comp-exec , lotos , 3.60 , 2272 , 1232
bubblesort , comp-exec , lotos , 1.90 , 2272 , 1332
closure , comp-exec , lotos , 1.80 , 2272 , 1328
dart , comp-exec , lotos , failed with exit status 1
evalexpr , comp-exec , lotos , 1.40 , 2272 , 1332
evalsym , comp-exec , lotos , 21.22 , 2272 , 1332
evaltree , comp-exec , lotos , 1.50 , 2272 , 1208
factorial6 , comp-exec , lotos , 0.70 , 2272 , 1408
factorial7 , comp-exec , lotos , 0.70 , 2272 , 1260
factorial8 , comp-exec , lotos , 0.70 , 2272 , 1204
factorial9 , comp-exec , lotos , 0.70 , 2272 , 1256
fib32 , comp-exec , lotos , 3.40 , 2272 , 1208
fibfree , comp-exec , lotos , 1.30 , 2272 , 1412
fibonacci , comp-exec , lotos , failed with exit status 139
garbagecollection , comp-exec , lotos , 0.80 , 2272 , 1404
hanoi , comp-exec , lotos , 0.80 , 2272 , 1204
langton , comp-exec , lotos , 48.74 , 2272 , 1340
logic3 , comp-exec , lotos , 0.70 , 2272 , 1412
merge , comp-exec , lotos , 0.80 , 2272 , 1248
mergesort , comp-exec , lotos , failed with exit status 1
missionariescannibals , comp-exec , lotos , failed with exit status 139
oddeven , comp-exec , lotos , 0.70 , 2272 , 1404
permutations , comp-exec , lotos , failed with exit status 1
quicksort , comp-exec , lotos , failed with exit status 1
revelt , comp-exec , lotos , 0.70 , 2272 , 1412
revnat , comp-exec , lotos , 7.21 , 2272 , 1216
sieve , comp-exec , lotos , failed with exit status 139
tak , comp-exec , lotos , 0.70 , 2272 , 1220
tautologyhard , comp-exec , lotos , 0.80 , 2272 , 1344
asfsdfbenchmark , comp , haskell , 1.70 , 119648 , 77308
asfsdfbenchmark , exec , haskell , 46.64 , 188800 , 185872
binarysearch , comp , haskell , 1.60 , 118624 , 77568
binarysearch , exec , haskell , 4.30 , 91508 , 88552
bubblesort , comp , haskell , 2.20 , 130912 , 90180
bubblesort , exec , haskell , 2.00 , 7588 , 4440
closure , comp , haskell , 3.00 , 131936 , 91392
closure , exec , haskell , 0.10 , 2020 , 52
dart , comp , haskell , 1.40 , 118624 , 76528
dart , exec , haskell , failed with exit status 1
evalexpr , comp , haskell , 1.50 , 116576 , 73056
evalexpr , exec , haskell , 0.70 , 7540 , 4540
evalsym , comp , haskell , 1.50 , 117600 , 77440
evalsym , exec , haskell , 21.02 , 7536 , 4576
evaltree , comp , haskell , 1.50 , 116576 , 74668
evaltree , exec , haskell , 3.51 , 175468 , 172712
factorial6 , comp , haskell , 1.10 , 114528 , 70988
factorial6 , exec , haskell , 0.10 , 2020 , 52
factorial7 , comp , haskell , 1.21 , 116576 , 74868
factorial7 , exec , haskell , 0.10 , 2020 , 52
factorial8 , comp , haskell , 1.20 , 117600 , 76544
factorial8 , exec , haskell , 0.10 , 2020 , 56
factorial9 , comp , haskell , 1.20 , 117600 , 75360
factorial9 , exec , haskell , 0.50 , 15708 , 12732
fib32 , comp , haskell , 1.50 , 116576 , 73812
