asfsdfbenchmark , comp-exec , lnt , failed with exit status 1
binarysearch , comp-exec , lnt , failed with exit status 1
bubblesort , comp-exec , lnt , 2.90 , 2272 , 1412
closure , comp-exec , lnt , 2.71 , 2272 , 1236
dart , comp-exec , lnt , failed with exit status 1
evalexpr , comp-exec , lnt , failed with exit status 1
evalsym , comp-exec , lnt , failed with exit status 1
evaltree , comp-exec , lnt , failed with exit status 1
factorial6 , comp-exec , lnt , 1.30 , 2272 , 1408
factorial7 , comp-exec , lnt , 1.30 , 2272 , 1352
factorial8 , comp-exec , lnt , 1.40 , 2272 , 1272
factorial9 , comp-exec , lnt , 1.40 , 2272 , 1228
fib32 , comp-exec , lnt , failed with exit status 1
fibfree , comp-exec , lnt , 2.20 , 2272 , 1272
fibonacci , comp-exec , lnt , failed with exit status 139
garbagecollection , comp-exec , lnt , 1.40 , 2272 , 1336
hanoi , comp-exec , lnt , 1.50 , 2272 , 1272
langton , comp-exec , lnt , failed with exit status 1
logic3 , comp-exec , lnt , failed with exit status 1
merge , comp-exec , lnt , 1.60 , 2272 , 1256
mergesort , comp-exec , lnt , failed with exit status 1
missionariescannibals , comp-exec , lnt , failed with exit status 139
oddeven , comp-exec , lnt , 1.40 , 2272 , 1236
permutations , comp-exec , lnt , failed with exit status 1
quicksort , comp-exec , lnt , failed with exit status 1
revelt , comp-exec , lnt , 1.30 , 2272 , 1336
revnat , comp-exec , lnt , 7.61 , 2272 , 1240
sieve , comp-exec , lnt , failed with exit status 1
tak , comp-exec , lnt , 1.40 , 2272 , 1412
tautologyhard , comp-exec , lnt , failed with exit status 1
asfsdfbenchmark , comp-exec , lotos , failed with exit status 1
binarysearch , comp-exec , lotos , 3.60 , 2272 , 1220
bubblesort , comp-exec , lotos , 1.90 , 2272 , 1336
closure , comp-exec , lotos , 1.90 , 2272 , 1336
dart , comp-exec , lotos , failed with exit status 1
evalexpr , comp-exec , lotos , 1.50 , 2272 , 1332
evalsym , comp-exec , lotos , 21.13 , 2272 , 1336
evaltree , comp-exec , lotos , 1.40 , 2272 , 1264
factorial6 , comp-exec , lotos , 0.70 , 2272 , 1332
factorial7 , comp-exec , lotos , 0.60 , 2272 , 1404
factorial8 , comp-exec , lotos , 0.60 , 2272 , 1404
factorial9 , comp-exec , lotos , 0.70 , 2272 , 1208
fib32 , comp-exec , lotos , 4.31 , 2272 , 1264
fibfree , comp-exec , lotos , 1.50 , 2272 , 1336
fibonacci , comp-exec , lotos , failed with exit status 139
garbagecollection , comp-exec , lotos , 0.80 , 2272 , 1260
hanoi , comp-exec , lotos , 0.80 , 2272 , 1264
langton , comp-exec , lotos , 49.27 , 2272 , 1232
logic3 , comp-exec , lotos , 0.70 , 2272 , 1332
merge , comp-exec , lotos , 0.80 , 2272 , 1264
mergesort , comp-exec , lotos , failed with exit status 1
missionariescannibals , comp-exec , lotos , failed with exit status 139
oddeven , comp-exec , lotos , 0.70 , 2272 , 1264
permutations , comp-exec , lotos , failed with exit status 1
quicksort , comp-exec , lotos , failed with exit status 1
revelt , comp-exec , lotos , 0.70 , 2272 , 1344
revnat , comp-exec , lotos , 7.31 , 2272 , 1332
sieve , comp-exec , lotos , failed with exit status 139
tak , comp-exec , lotos , 0.70 , 2272 , 1332
tautologyhard , comp-exec , lotos , 0.80 , 2272 , 1260
asfsdfbenchmark , comp , haskell , 1.80 , 119648 , 76784
asfsdfbenchmark , exec , haskell , 47.16 , 187776 , 184808
binarysearch , comp , haskell , 1.60 , 117600 , 76864
binarysearch , exec , haskell , 4.30 , 91508 , 88552
bubblesort , comp , haskell , 2.30 , 131936 , 92120
bubblesort , exec , haskell , 2.00 , 7588 , 4348
closure , comp , haskell , 3.00 , 131936 , 92184
closure , exec , haskell , 0.10 , 2020 , 56
dart , comp , haskell , 1.40 , 118624 , 76520
dart , exec , haskell , failed with exit status 1
evalexpr , comp , haskell , 1.50 , 116576 , 73748
evalexpr , exec , haskell , 0.70 , 7540 , 4528
evalsym , comp , haskell , 1.50 , 117600 , 77484
evalsym , exec , haskell , 21.02 , 7536 , 4472
evaltree , comp , haskell , 1.50 , 116576 , 74712
evaltree , exec , haskell , 3.40 , 175468 , 172648
factorial6 , comp , haskell , 1.20 , 114528 , 72336
factorial6 , exec , haskell , 0.10 , 2020 , 52
factorial7 , comp , haskell , 1.20 , 117600 , 75672
factorial7 , exec , haskell , 0.10 , 2020 , 52
factorial8 , comp , haskell , 1.10 , 116576 , 75076
factorial8 , exec , haskell , 0.10 , 2020 , 56
factorial9 , comp , haskell , 1.20 , 117600 , 75164
factorial9 , exec , haskell , 0.50 , 15708 , 12748
fib32 , comp , haskell , 1.50 , 116576 , 73812
fib32 , exec , haskell , 4.40 , 91508 , 88588
fibfree , comp , haskell , 1.90 , 117600 , 77280
fibfree , exec , haskell , 0.10 , 2020 , 56
fibonacci , comp , haskell , 1.20 , 117600 , 76516
fibonacci , exec , haskell , 19.52 , 272736 , 269796
garbagecollection , comp , haskell , 1.20 , 116576 , 74776
garbagecollection , exec , haskell , 0.10 , 2020 , 52
hanoi , comp , haskell , 1.40 , 118624 , 75752
hanoi , exec , haskell , 0.10 , 2020 , 56
langton , comp , haskell , 2.40 , 130912 , 90872
langton , exec , haskell , 343.89 , 12676 , 9968
logic3 , comp , haskell , 1.20 , 117600 , 74632
logic3 , exec , haskell , 0.10 , 2020 , 56
merge , comp , haskell , 1.41 , 116576 , 74472
merge , exec , haskell , 0.10 , 2020 , 56
mergesort , comp , haskell , 1.40 , 117600 , 75652
mergesort , exec , haskell , 0.60 , 6512 , 3576
missionariescannibals , comp , haskell , 2.00 , 120672 , 77772
