asfsdfbenchmark , comp-exec , lnt , failed with exit status 1
binarysearch , comp-exec , lnt , 4.80 , 2272 , 1276
bubblesort , comp-exec , lnt , 3.20 , 2272 , 1344
closure , comp-exec , lnt , 3.00 , 2272 , 1344
dart , comp-exec , lnt , 1.60 , 2272 , 1220
evalexpr , comp-exec , lnt , 2.50 , 2272 , 1256
evalsym , comp-exec , lnt , 27.13 , 2272 , 1348
evaltree , comp-exec , lnt , 2.81 , 2272 , 1276
factorial6 , comp-exec , lnt , 1.40 , 2272 , 1348
factorial7 , comp-exec , lnt , 1.50 , 2272 , 1276
factorial8 , comp-exec , lnt , 1.50 , 2272 , 1416
factorial9 , comp-exec , lnt , 1.40 , 2272 , 1416
fib32 , comp-exec , lnt , 4.50 , 2272 , 1344
fibfree , comp-exec , lnt , 2.31 , 2272 , 1356
fibonacci05 , comp-exec , lnt , failed with exit status 1
fibonacci18 , comp-exec , lnt , 1.40 , 2272 , 1352
fibonacci19 , comp-exec , lnt , 1.50 , 2272 , 1272
fibonacci20 , comp-exec , lnt , 1.40 , 2272 , 1344
fibonacci21 , comp-exec , lnt , 1.30 , 2272 , 1352
garbagecollection , comp-exec , lnt , 1.60 , 2272 , 1244
hanoi , comp-exec , lnt , 1.70 , 2272 , 1352
langton , comp-exec , lnt , 50.95 , 2272 , 1256
logic3 , comp-exec , lnt , 1.50 , 2272 , 1420
merge , comp-exec , lnt , 1.70 , 2272 , 1412
mergesort , comp-exec , lnt , failed with exit status 1
missionariescannibals , comp-exec , lnt , 1.91 , 2272 , 1260
oddeven , comp-exec , lnt , 1.40 , 2272 , 1264
permutations , comp-exec , lnt , 2.00 , 2272 , 1240
quicksort , comp-exec , lnt , failed with exit status 1
revelt , comp-exec , lnt , 1.60 , 2272 , 1268
revnat , comp-exec , lnt , 8.21 , 2272 , 1216
sieve , comp-exec , lnt , 91.88 , 2272 , 1276
tak , comp-exec , lnt , 1.60 , 2272 , 1348
tautologyhard , comp-exec , lnt , 1.70 , 2272 , 1420
asfsdfbenchmark , comp-exec , lotos , failed with exit status 1
binarysearch , comp-exec , lotos , 3.71 , 2272 , 1344
bubblesort , comp-exec , lotos , 1.90 , 2272 , 1232
closure , comp-exec , lotos , 2.00 , 2272 , 1416
dart , comp-exec , lotos , 0.90 , 2272 , 1252
evalexpr , comp-exec , lotos , 1.70 , 2272 , 1348
evalsym , comp-exec , lotos , 26.23 , 2272 , 1412
evaltree , comp-exec , lotos , 1.91 , 2272 , 1340
factorial6 , comp-exec , lotos , 0.70 , 2272 , 1268
factorial7 , comp-exec , lotos , 0.80 , 2272 , 1220
factorial8 , comp-exec , lotos , 0.80 , 2272 , 1340
factorial9 , comp-exec , lotos , 0.80 , 2272 , 1260
fib32 , comp-exec , lotos , 3.80 , 2272 , 1212
fibfree , comp-exec , lotos , 1.51 , 2272 , 1212
fibonacci05 , comp-exec , lotos , 0.80 , 2272 , 1332
fibonacci18 , comp-exec , lotos , 0.80 , 2272 , 1224
fibonacci19 , comp-exec , lotos , 0.80 , 2272 , 1336
fibonacci20 , comp-exec , lotos , 0.80 , 2272 , 1336
fibonacci21 , comp-exec , lotos , 0.80 , 2272 , 1336
garbagecollection , comp-exec , lotos , 0.90 , 2272 , 1252
hanoi , comp-exec , lotos , 0.80 , 2272 , 1268
langton , comp-exec , lotos , 48.94 , 2272 , 1340
logic3 , comp-exec , lotos , 0.90 , 2272 , 1340
merge , comp-exec , lotos , 1.00 , 2272 , 1336
mergesort , comp-exec , lotos , failed with exit status 1
missionariescannibals , comp-exec , lotos , 1.00 , 2272 , 1264
oddeven , comp-exec , lotos , 0.81 , 2272 , 1404
permutations , comp-exec , lotos , 1.10 , 2272 , 1336
quicksort , comp-exec , lotos , failed with exit status 1
revelt , comp-exec , lotos , 0.90 , 2272 , 1408
revnat , comp-exec , lotos , 7.31 , 2272 , 1268
sieve , comp-exec , lotos , 85.67 , 2272 , 1408
tak , comp-exec , lotos , 0.90 , 2272 , 1412
tautologyhard , comp-exec , lotos , 1.00 , 2272 , 1340
asfsdfbenchmark , comp , haskell , 1.70 , 119648 , 76688
asfsdfbenchmark , exec , haskell , 46.74 , 180608 , 177688
binarysearch , comp , haskell , 1.70 , 118624 , 78116
binarysearch , exec , haskell , 4.30 , 91508 , 88496
bubblesort , comp , haskell , 2.30 , 131936 , 91240
bubblesort , exec , haskell , 2.00 , 7588 , 4332
closure , comp , haskell , 3.10 , 131936 , 91592
closure , exec , haskell , 0.10 , 2020 , 52
dart , comp , haskell , 1.30 , 117600 , 75004
dart , exec , haskell , 0.20 , 7532 , 4588
evalexpr , comp , haskell , 1.60 , 117600 , 77704
evalexpr , exec , haskell , 1.20 , 7540 , 4544
evalsym , comp , haskell , 1.51 , 116576 , 73156
evalsym , exec , haskell , 43.64 , 7540 , 4484
evaltree , comp , haskell , 1.60 , 116576 , 72688
evaltree , exec , haskell , 4.91 , 170352 , 167372
factorial6 , comp , haskell , 1.10 , 114528 , 72228
factorial6 , exec , haskell , 0.10 , 2020 , 56
factorial7 , comp , haskell , 1.20 , 116576 , 75316
factorial7 , exec , haskell , 0.10 , 2020 , 56
factorial8 , comp , haskell , 1.20 , 116576 , 75512
factorial8 , exec , haskell , 0.10 , 2020 , 52
factorial9 , comp , haskell , 1.20 , 116576 , 74892
factorial9 , exec , haskell , 0.50 , 15708 , 12832
fib32 , comp , haskell , 1.60 , 116576 , 73816
fib32 , exec , haskell , 4.71 , 91508 , 88600
fibfree , comp , haskell , 1.80 , 117600 , 77368
fibfree , exec , haskell , 0.10 , 2020 , 56
fibonacci05 , comp , haskell , 1.21 , 117600 , 75580
fibonacci05 , exec , haskell , 0.10 , 2020 , 56
fibonacci18 , comp , haskell , 1.20 , 117600 , 74908
fibonacci18 , exec , haskell , 0.10 , 2020 , 52
fibonacci19 , comp , haskell , 1.20 , 116576 , 75508
fibonacci19 , exec , haskell , 0.10 , 2020 , 52
fibonacci20 , comp , haskell , 1.20 , 116576 , 75400
fibonacci20 , exec , haskell , 0.10 , 2020 , 52
fibonacci21 , comp , haskell , 1.20 , 117600 , 75448
fibonacci21 , exec , haskell , 0.10 , 2020 , 56
garbagecollection , comp , haskell , 1.31 , 117600 , 75652
garbagecollection , exec , haskell , 0.10 , 2020 , 52
hanoi , comp , haskell , 1.50 , 118624 , 76116
hanoi , exec , haskell , 0.10 , 2020 , 56
