benchexpr10 , comp-exec , lnt , 1.90 , 2272 , 1344
benchexpr20 , comp-exec , lnt , 4.50 , 2272 , 1232
benchexpr22 , comp-exec , lnt , 9.72 , 2272 , 1348
benchsym10 , comp-exec , lnt , 2.60 , 2272 , 1416
benchsym20 , comp-exec , lnt , 3.71 , 2272 , 1244
benchsym22 , comp-exec , lnt , 6.81 , 2272 , 1268
benchtree10 , comp-exec , lnt , failed with exit status 1
benchtree20 , comp-exec , lnt , failed with exit status 1
benchtree22 , comp-exec , lnt , failed with exit status 1
binarysearch , comp-exec , lnt , 5.81 , 2272 , 1276
bubblesort1000 , comp-exec , lnt , 3.40 , 2272 , 1268
bubblesort100 , comp-exec , lnt , 2.10 , 2272 , 1348
bubblesort10 , comp-exec , lnt , 2.10 , 2272 , 1276
bubblesort20 , comp-exec , lnt , 2.20 , 2272 , 1348
bubblesort720 , comp-exec , lnt , 2.61 , 2272 , 1244
dart , comp-exec , lnt , 2.10 , 2272 , 1348
evalexpr , comp-exec , lnt , 3.01 , 2272 , 1276
evalsym , comp-exec , lnt , 27.84 , 2272 , 1256
evaltree , comp-exec , lnt , 3.50 , 2272 , 1220
factorial5 , comp-exec , lnt , 2.00 , 2272 , 1276
factorial6 , comp-exec , lnt , 2.10 , 2272 , 1356
factorial7 , comp-exec , lnt , 1.60 , 2272 , 1276
factorial8 , comp-exec , lnt , 2.01 , 2272 , 1348
factorial9 , comp-exec , lnt , 2.00 , 2272 , 1348
fib32 , comp-exec , lnt , 5.72 , 2272 , 1268
fibfree , comp-exec , lnt , 2.60 , 2272 , 1276
fibonacci05 , comp-exec , lnt , 1.80 , 2272 , 1272
fibonacci18 , comp-exec , lnt , 1.90 , 2272 , 1268
fibonacci19 , comp-exec , lnt , 1.60 , 2272 , 1344
fibonacci20 , comp-exec , lnt , 1.90 , 2272 , 1272
fibonacci21 , comp-exec , lnt , 2.01 , 2272 , 1344
hanoi4 , comp-exec , lnt , 2.00 , 2272 , 1412
langton6 , comp-exec , lnt , 37.14 , 2272 , 1264
langton7 , comp-exec , lnt , 52.75 , 2272 , 1344
logic3 , comp-exec , lnt , 2.00 , 2272 , 1420
merge , comp-exec , lnt , 2.31 , 2272 , 1348
mergesort1000 , comp-exec , lnt , failed with exit status 1
mergesort100 , comp-exec , lnt , failed with exit status 1
mergesort10 , comp-exec , lnt , 2.11 , 2272 , 1268
missionaries2 , comp-exec , lnt , 2.60 , 2272 , 1340
missionaries3 , comp-exec , lnt , 2.40 , 2272 , 1276
permutations6 , comp-exec , lnt , 2.10 , 2272 , 1420
permutations7 , comp-exec , lnt , 2.40 , 2272 , 1424
