benchexpr10 , comp-exec , lnt , 2.00 , 2272 , 1412
benchexpr20 , comp-exec , lnt , 3.40 , 2272 , 1352
benchexpr22 , comp-exec , lnt , 8.21 , 2272 , 1340
benchsym10 , comp-exec , lnt , 2.00 , 2272 , 1268
benchsym20 , comp-exec , lnt , 2.90 , 2272 , 1268
benchsym22 , comp-exec , lnt , 5.92 , 2272 , 1344
benchtree10 , comp-exec , lnt , failed with exit status 1
benchtree20 , comp-exec , lnt , lnt benchtree failure again
benchtree22 , comp-exec , lnt , lnt benchtree failure again
binarysearch , comp-exec , lnt , 4.91 , 2272 , 1344
bubblesort10 , comp-exec , lnt , 1.60 , 2272 , 1256
bubblesort20 , comp-exec , lnt , 1.71 , 2272 , 1216
bubblesort100 , comp-exec , lnt , 1.61 , 2272 , 1344
bubblesort720 , comp-exec , lnt , 2.10 , 2272 , 1336
bubblesort1000 , comp-exec , lnt , 2.91 , 2272 , 1216
dart , comp-exec , lnt , 1.70 , 2272 , 1228
evalexpr , comp-exec , lnt , 2.50 , 2272 , 1412
evalsym , comp-exec , lnt , 26.82 , 2272 , 1416
evaltree , comp-exec , lnt , 2.91 , 2272 , 1336
factorial5 , comp-exec , lnt , 1.60 , 2272 , 1268
factorial6 , comp-exec , lnt , 1.60 , 2272 , 1272
factorial7 , comp-exec , lnt , 1.70 , 2272 , 1264
factorial8 , comp-exec , lnt , 1.60 , 2272 , 1260
factorial9 , comp-exec , lnt , 1.50 , 2272 , 1268
fib32 , comp-exec , lnt , 4.50 , 2272 , 1412
fibfree , comp-exec , lnt , 2.51 , 2272 , 1240
fibonacci05 , comp-exec , lnt , 1.50 , 2272 , 1224
fibonacci18 , comp-exec , lnt , 1.60 , 2272 , 1412
fibonacci19 , comp-exec , lnt , 1.60 , 2272 , 1412
fibonacci20 , comp-exec , lnt , 1.50 , 2272 , 1224
fibonacci21 , comp-exec , lnt , 1.61 , 2272 , 1340
hanoi4 , comp-exec , lnt , 1.80 , 2272 , 1352
langton6 , comp-exec , lnt , 36.55 , 2272 , 1256
langton7 , comp-exec , lnt , 51.16 , 2272 , 1272
logic3 , comp-exec , lnt , 1.60 , 2272 , 1264
merge , comp-exec , lnt , 1.70 , 2272 , 1272
mergesort10 , comp-exec , lnt , 1.80 , 2272 , 1352
mergesort100 , comp-exec , lnt , failed with exit status 1
mergesort1000 , comp-exec , lnt , lnt mergesort failure again
missionaries2 , comp-exec , lnt , 2.00 , 2272 , 1240
missionaries3 , comp-exec , lnt , 1.80 , 2272 , 1240
permutations6 , comp-exec , lnt , 1.70 , 2272 , 1228
permutations7 , comp-exec , lnt , 1.90 , 2272 , 1212
quicksort10 , comp-exec , lnt , 1.61 , 2272 , 1240
quicksort100 , comp-exec , lnt , failed with exit status 1
quicksort1000 , comp-exec , lnt , lnt quicksort failure again
revnat100 , comp-exec , lnt , 1.70 , 2272 , 1256
revnat1000 , comp-exec , lnt , 1.70 , 2272 , 1264
revnat10000 , comp-exec , lnt , 8.01 , 2272 , 1340
