benchexpr10 , comp , haskell , 0 , 2.00 , 10076 , 1884
benchexpr10 , exec , haskell , 0 , 0.10 , 4080 , 80
benchexpr20 , comp , haskell , 0 , 2.00 , 10076 , 1796
benchexpr20 , exec , haskell , 0 , 1.10 , 10076 , 1848
benchexpr22 , comp , haskell , 0 , 2.00 , 10076 , 1892
benchexpr22 , exec , haskell , 0 , 4.11 , 10076 , 1908
benchsym10 , comp , haskell , 0 , 2.00 , 10076 , 1900
benchsym10 , exec , haskell , 0 , 0.10 , 4080 , 76
benchsym20 , comp , haskell , 0 , 2.00 , 10076 , 1732
benchsym20 , exec , haskell , 0 , 0.60 , 10076 , 1884
benchsym22 , comp , haskell , 0 , 2.00 , 10076 , 1728
benchsym22 , exec , haskell , 0 , 2.20 , 10076 , 1896
benchtree10 , comp , haskell , 0 , 2.00 , 10076 , 1732
benchtree10 , exec , haskell , 0 , 0.10 , 4080 , 80
benchtree20 , comp , haskell , 0 , 2.00 , 10076 , 1884
benchtree20 , exec , haskell , 0 , 7.91 , 10076 , 1904
benchtree22 , comp , haskell , 0 , 2.00 , 10076 , 1848
benchtree22 , exec , haskell , 0 , 37.95 , 10076 , 1844
binarysearch , comp , haskell , 0 , 1.90 , 10076 , 1732
binarysearch , exec , haskell , 0 , 4.71 , 10076 , 1884
bubblesort10 , comp , haskell , 0 , 1.60 , 10076 , 1904
bubblesort10 , exec , haskell , 0 , 0.10 , 4080 , 76
bubblesort20 , comp , haskell , 0 , 1.60 , 10076 , 1844
bubblesort20 , exec , haskell , 0 , 0.10 , 4080 , 80
bubblesort100 , comp , haskell , 0 , 1.60 , 10076 , 1888
bubblesort100 , exec , haskell , 0 , 0.10 , 4080 , 80
bubblesort720 , comp , haskell , 0 , 1.60 , 10076 , 1796
bubblesort720 , exec , haskell , 0 , 0.80 , 10076 , 1888
bubblesort1000 , comp , haskell , 0 , 1.60 , 10076 , 1908
bubblesort1000 , exec , haskell , 0 , 1.90 , 10076 , 1844
dart , comp , haskell , 0 , 1.70 , 10076 , 1796
dart , exec , haskell , 0 , 0.10 , 4080 , 80
evalexpr , comp , haskell , 0 , 1.80 , 10076 , 1776
evalexpr , exec , haskell , 0 , 1.10 , 10076 , 1848
evalsym , comp , haskell , 0 , 1.80 , 10076 , 1776
evalsym , exec , haskell , 0 , 42.64 , 10076 , 1724
evaltree , comp , haskell , 0 , 1.80 , 10076 , 1892
evaltree , exec , haskell , 0 , 5.61 , 10076 , 1732
factorial5 , comp , haskell , 0 , 1.40 , 10076 , 1728
factorial5 , exec , haskell , 0 , 0.10 , 4080 , 80
factorial6 , comp , haskell , 0 , 1.40 , 10076 , 1896
factorial6 , exec , haskell , 0 , 0.10 , 4080 , 80
factorial7 , comp , haskell , 0 , 1.40 , 10076 , 1908
factorial7 , exec , haskell , 0 , 0.10 , 4080 , 76
factorial8 , comp , haskell , 0 , 1.40 , 10076 , 1844
factorial8 , exec , haskell , 0 , 0.10 , 4080 , 80
factorial9 , comp , haskell , 0 , 1.40 , 10076 , 1904
factorial9 , exec , haskell , 0 , 0.40 , 10076 , 1728
fib32 , comp , haskell , 0 , 1.80 , 10076 , 1796
fib32 , exec , haskell , 0 , 4.91 , 10076 , 1896
fibfree , comp , haskell , 0 , 2.20 , 10076 , 1772
fibfree , exec , haskell , 0 , 0.10 , 4080 , 76
fibonacci05 , comp , haskell , 0 , 1.50 , 10076 , 1904
fibonacci05 , exec , haskell , 0 , 0.10 , 4080 , 80
fibonacci18 , comp , haskell , 0 , 5.91 , 10076 , 1844
fibonacci18 , exec , haskell , 0 , 0.10 , 4080 , 76
fibonacci19 , comp , haskell , 0 , 1.50 , 10076 , 1844
fibonacci19 , exec , haskell , 0 , 0.10 , 4080 , 76
fibonacci20 , comp , haskell , 0 , 1.50 , 10076 , 1888
fibonacci20 , exec , haskell , 0 , 0.10 , 4080 , 80
fibonacci21 , comp , haskell , 0 , 1.60 , 10076 , 1900
fibonacci21 , exec , haskell , 0 , 0.10 , 4080 , 80
hanoi4 , comp , haskell , 0 , 1.90 , 10076 , 1844
hanoi4 , exec , haskell , 0 , 0.10 , 4080 , 80
langton6 , comp , haskell , 0 , 3.10 , 10076 , 1904
langton6 , exec , haskell , timeout , 140.06 , 10076 , 1776
langton7 , comp , haskell , 0 , 3.00 , 10076 , 1908
langton7 , exec , haskell , timeout , 140.02 , 10076 , 1908
logic3 , comp , haskell , 0 , 1.50 , 10076 , 1792
logic3 , exec , haskell , 0 , 0.10 , 4080 , 76
merge , comp , haskell , 0 , 1.70 , 10076 , 1732
merge , exec , haskell , 0 , 0.10 , 4080 , 80
mergesort10 , comp , haskell , 0 , 1.70 , 10076 , 1776
mergesort10 , exec , haskell , 0 , 0.10 , 4080 , 76
