benchexpr10 , comp , clean , 0 , 0.20 , 3924 , 1724
benchexpr10 , exec , clean , 0 , 0.10 , 2020 , 56
benchexpr20 , comp , clean , 0 , 0.20 , 3924 , 1788
benchexpr20 , exec , clean , 0 , 0.20 , 3924 , 1724
benchexpr22 , comp , clean , 0 , 0.20 , 3924 , 1728
benchexpr22 , exec , clean , 0 , 0.20 , 3924 , 1720
benchsym10 , comp , clean , 0 , 0.20 , 3924 , 1824
benchsym10 , exec , clean , 0 , 0.10 , 2020 , 52
benchsym20 , comp , clean , 0 , 0.20 , 3924 , 1720
benchsym20 , exec , clean , 0 , 0.50 , 3924 , 1764
benchsym22 , comp , clean , 0 , 0.20 , 3924 , 1776
benchsym22 , exec , clean , 0 , 1.50 , 3924 , 1748
benchtree10 , comp , clean , 0 , 0.20 , 3924 , 1868
benchtree10 , exec , clean , 0 , 171.14 , 3924 , 1732
benchtree20 , comp , clean , 0 , 0.20 , 3924 , 1728
benchtree20 , exec , clean , timeout , 360.10 , 3924 , 1724
benchtree22 , comp , clean , 0 , 0.30 , 3924 , 1780
benchtree22 , exec , clean , timeout , 360.10 , 3924 , 1596
binarysearch , comp , clean , 0 , 0.20 , 3924 , 1820
binarysearch , exec , clean , 0 , 1.10 , 3924 , 1776
bubblesort10 , comp , clean , 0 , 0.20 , 3924 , 1764
bubblesort10 , exec , clean , 0 , 0.10 , 2020 , 52
bubblesort20 , comp , clean , 0 , 0.20 , 3924 , 1788
bubblesort20 , exec , clean , 0 , 0.10 , 2020 , 52
bubblesort100 , comp , clean , 0 , 0.20 , 3924 , 1764
bubblesort100 , exec , clean , 0 , 0.10 , 2020 , 56
bubblesort720 , comp , clean , 0 , 0.20 , 3924 , 1764
bubblesort720 , exec , clean , 0 , 0.40 , 3924 , 1872
bubblesort1000 , comp , clean , 0 , 0.20 , 3924 , 1764
bubblesort1000 , exec , clean , 0 , 1.10 , 3924 , 1596
dart , comp , clean , 0 , 0.20 , 3924 , 1724
dart , exec , clean , 0 , 0.10 , 2020 , 52
evalexpr , comp , clean , 0 , 0.20 , 3924 , 1776
evalexpr , exec , clean , 0 , 0.20 , 3924 , 1724
evalsym , comp , clean , 0 , 0.20 , 3924 , 1776
evalsym , exec , clean , 0 , 23.02 , 3924 , 1768
evaltree , comp , clean , 0 , 0.20 , 3924 , 1688
evaltree , exec , clean , 0 , 0.60 , 3924 , 1724
factorial5 , comp , clean , 0 , 0.20 , 3924 , 1660
factorial5 , exec , clean , 0 , 0.10 , 2020 , 56
factorial6 , comp , clean , 0 , 0.20 , 3924 , 1724
factorial6 , exec , clean , 0 , 0.10 , 2020 , 52
factorial7 , comp , clean , 0 , 0.20 , 3924 , 1728
factorial7 , exec , clean , 0 , 0.10 , 2020 , 52
factorial8 , comp , clean , 0 , 0.20 , 3924 , 1824
factorial8 , exec , clean , 0 , 0.10 , 2020 , 56
factorial9 , comp , clean , 0 , 0.20 , 3924 , 1724
factorial9 , exec , clean , 0 , 0.10 , 2020 , 52
fib32 , comp , clean , 0 , 0.20 , 3924 , 1724
