maa , comp , clean , 0 , 1.10 , 10072 , 1892
maa , exec , clean , 0 , 7.21 , 10072 , 1792
maa , comp , haskell , 0 , 13.41 , 10072 , 1736
maa , exec , haskell , 0 , 3.10 , 10072 , 1888
maa , comp-exec , lnt , 0 , 10.71 , 10072 , 1776
maa , comp-exec , lotos , 0 , 7.41 , 10072 , 1860
maa , comp-exec , maude , 0 , 89.78 , 10072 , 1860
maa , comp , mcrl2-default , 0 , 2.00 , 10072 , 1796
maa , exec , mcrl2-default , 0 , 251.55 , 10072 , 1812
maa , comp , mcrl2-jittyc , 0 , 1.60 , 10072 , 1800
maa , exec , mcrl2-jittyc , 0 , 153.06 , 10072 , 1800
maa , comp , ocaml , 0 , 1.20 , 10072 , 1880
maa , exec , ocaml , 0 , 25.62 , 10072 , 1860
maa , comp , opal , timeout , 360.07 , 10072 , 1892
maa , comp-exec , rascal-interp , timeout , 360.27 , 10072 , 1860
maa , comp , rascal-compil , 1 , 94.25 , 10072 , 1860
maa , comp , scala , 0 , 22.34 , 10072 , 1892
maa , exec , scala , 0 , 7.21 , 10072 , 1828
maa , comp-exec , sml-smlnj , 0 , 15.52 , 10072 , 1784
maa , comp , sml-mlton , 0 , 15.62 , 10072 , 1896
maa , exec , sml-mlton , 0 , 1.00 , 10072 , 1892
maa , comp-exec , stratego , 1 , 70.39 , 10072 , 1860
maa , comp , tom , timeout , 360.09 , 10072 , 1772
