add8 , comp , clean , kill-13 , 3.90 , 3924 , 1788
add16 , comp , clean , kill-13 , 3.00 , 3924 , 1752
add32 , comp , clean , kill-13 , 7.01 , 3924 , 1660
benchexpr10 , comp , clean , 0 , 0.20 , 3924 , 1660
benchexpr10 , exec , clean , 0 , 0.10 , 2020 , 52
benchexpr20 , comp , clean , 0 , 0.20 , 3924 , 1600
benchexpr20 , exec , clean , 255 , 0.10 , 2020 , 52
benchexpr22 , comp , clean , 0 , 0.20 , 3924 , 1740
benchexpr22 , exec , clean , 255 , 0.10 , 2020 , 52
benchsym10 , comp , clean , 0 , 0.20 , 3924 , 1824
benchsym10 , exec , clean , 0 , 0.10 , 2020 , 52
benchsym20 , comp , clean , 0 , 0.20 , 3924 , 1732
benchsym20 , exec , clean , 0 , 0.40 , 3924 , 1736
benchsym22 , comp , clean , 0 , 0.20 , 3924 , 1792
benchsym22 , exec , clean , 0 , 1.60 , 3924 , 1724
benchtree10 , comp , clean , 0 , 0.30 , 3924 , 1776
benchtree10 , exec , clean , 255 , 0.40 , 3924 , 1596
benchtree20 , comp , clean , 0 , 0.20 , 3924 , 1736
benchtree20 , exec , clean , 255 , 0.40 , 3924 , 1780
benchtree22 , comp , clean , 0 , 0.20 , 3924 , 1660
benchtree22 , exec , clean , 255 , 0.40 , 3924 , 1788
binarysearch , comp , clean , 0 , 0.20 , 3924 , 1784
binarysearch , exec , clean , 0 , 2.70 , 3924 , 1724
bubblesort10 , comp , clean , 0 , 0.20 , 3924 , 1780
bubblesort10 , exec , clean , 0 , 0.10 , 2020 , 52
bubblesort20 , comp , clean , 0 , 0.20 , 3924 , 1792
bubblesort20 , exec , clean , 0 , 0.10 , 2020 , 56
bubblesort100 , comp , clean , 0 , 0.20 , 3924 , 1776
bubblesort100 , exec , clean , 0 , 0.10 , 2020 , 52
bubblesort720 , comp , clean , 0 , 0.20 , 3924 , 1776
bubblesort720 , exec , clean , 0 , 0.40 , 3924 , 1732
bubblesort1000 , comp , clean , 0 , 0.20 , 3924 , 1716
bubblesort1000 , exec , clean , 0 , 1.30 , 3924 , 1788
dart , comp , clean , 0 , 0.20 , 3924 , 1788
dart , exec , clean , 255 , 0.10 , 2020 , 56
evalexpr , comp , clean , 0 , 0.20 , 3924 , 1720
evalexpr , exec , clean , 255 , 0.10 , 2020 , 52
evalsym , comp , clean , 0 , 0.20 , 3924 , 1868
evalsym , exec , clean , 0 , 26.34 , 3924 , 1868
evaltree , comp , clean , 0 , 0.20 , 3924 , 1716
evaltree , exec , clean , 255 , 0.10 , 2020 , 52
factorial5 , comp , clean , 0 , 0.20 , 3924 , 1868
factorial5 , exec , clean , 0 , 0.10 , 2020 , 52
factorial6 , comp , clean , 0 , 0.20 , 3924 , 1748
factorial6 , exec , clean , 0 , 0.10 , 2020 , 52
factorial7 , comp , clean , 0 , 0.20 , 3924 , 1780
factorial7 , exec , clean , 255 , 0.10 , 2020 , 52
factorial8 , comp , clean , 0 , 0.20 , 3924 , 1772
