add8 , comp , clean , 141 , 5.21 , 3924 , 1752
add16 , comp , clean , 141 , 4.50 , 3924 , 1772
add32 , comp , clean , 141 , 9.71 , 3924 , 1720
benchexpr10 , comp , clean , 0 , 0.20 , 3924 , 1748
benchexpr10 , exec , clean , 0 , 0.10 , 2020 , 52
benchexpr20 , comp , clean , 0 , 0.20 , 3924 , 1728
benchexpr20 , exec , clean , 0 , 0.80 , 3924 , 1768
benchexpr22 , comp , clean , 0 , 0.20 , 3924 , 1764
benchexpr22 , exec , clean , 0 , 3.01 , 3924 , 1596
benchsym10 , comp , clean , 0 , 0.20 , 3924 , 1660
benchsym10 , exec , clean , 0 , 0.10 , 2020 , 52
benchsym20 , comp , clean , 0 , 0.30 , 3924 , 1828
benchsym20 , exec , clean , 0 , 0.90 , 3924 , 1768
benchsym22 , comp , clean , 0 , 0.30 , 3924 , 1784
benchsym22 , exec , clean , 0 , 2.80 , 3924 , 1788
benchtree10 , comp , clean , 0 , 0.30 , 3924 , 1776
benchtree10 , exec , clean , 0 , 108.86 , 3924 , 1828
benchtree20 , comp , clean , 0 , 0.20 , 3924 , 1768
benchtree20 , exec , clean , timeout , 360.20 , 3924 , 1596
benchtree22 , comp , clean , 0 , 0.30 , 3924 , 1788
benchtree22 , exec , clean , timeout , 360.20 , 3924 , 1740
binarysearch , comp , clean , 0 , 0.20 , 3924 , 1736
binarysearch , exec , clean , 0 , 3.60 , 3924 , 1824
bubblesort10 , comp , clean , 0 , 0.20 , 3924 , 1728
bubblesort10 , exec , clean , 0 , 0.10 , 2020 , 52
bubblesort20 , comp , clean , 0 , 0.20 , 3924 , 1708
bubblesort20 , exec , clean , 0 , 0.10 , 2020 , 52
bubblesort100 , comp , clean , 0 , 0.20 , 3924 , 1716
bubblesort100 , exec , clean , 0 , 0.10 , 2020 , 56
bubblesort720 , comp , clean , 0 , 0.20 , 3924 , 1736
bubblesort720 , exec , clean , 0 , 0.50 , 3924 , 1596
bubblesort1000 , comp , clean , 0 , 0.20 , 3924 , 1784
bubblesort1000 , exec , clean , 0 , 0.90 , 3924 , 1596
closure , comp , clean , 0 , 0.30 , 3924 , 1724
closure , exec , clean , 0 , 0.20 , 3924 , 1784
dart , comp , clean , 0 , 0.20 , 3924 , 1600
dart , exec , clean , 0 , 0.10 , 2020 , 52
