add8 , comp-exec , cafeobj-a , 0 , 48.96 , 3928 , 1752
add16 , comp-exec , cafeobj-a , 0 , 48.86 , 3928 , 1792
add32 , comp-exec , cafeobj-a , 0 , 96.34 , 3928 , 1776
benchexpr10 , comp-exec , cafeobj-a , 0 , 0.90 , 3928 , 1780
benchexpr20 , comp-exec , cafeobj-a , 0 , 1159.16 , 3928 , 1668
benchexpr22 , comp-exec , cafeobj-a , 1 , 1450.51 , 3928 , 1756
benchsym10 , comp-exec , cafeobj-a , 0 , 0.70 , 3928 , 1728
benchsym20 , comp-exec , cafeobj-a , 0 , 454.36 , 3928 , 1752
benchtree20 , comp-exec , cafeobj-a , 1 , 2.80 , 3928 , 1728
benchtree22 , comp-exec , cafeobj-a , 1 , 2.80 , 3928 , 1668
binarysearch , comp-exec , cafeobj-a , timeout , 1800.07 , 3928 , 1668
bubblesort10 , comp-exec , cafeobj-a , 0 , 0.20 , 3928 , 1668
bubblesort20 , comp-exec , cafeobj-a , 0 , 0.30 , 3928 , 1788
bubblesort100 , comp-exec , cafeobj-a , 0 , 38.85 , 3928 , 1732
bubblesort720 , comp-exec , cafeobj-a , timeout , 1800.03 , 3928 , 1752
bubblesort1000 , comp-exec , cafeobj-a , timeout , 1800.01 , 3928 , 1732
closure , comp-exec , cafeobj-a , timeout , 1800.04 , 3928 , 1780
dart , comp-exec , cafeobj-a , 0 , 1411.02 , 3928 , 1772
evalexpr , comp-exec , cafeobj-a , timeout , 1800.01 , 3928 , 1784
evalsym , comp-exec , cafeobj-a , timeout , 1800.09 , 3928 , 1864
evaltree , comp-exec , cafeobj-a , timeout , 1800.01 , 3928 , 1784
factorial5 , comp-exec , cafeobj-a , 0 , 0.20 , 3928 , 1788
factorial6 , comp-exec , cafeobj-a , 0 , 0.30 , 3928 , 1792
factorial7 , comp-exec , cafeobj-a , 0 , 4.50 , 3928 , 1728
factorial8 , comp-exec , cafeobj-a , 1 , 147.52 , 3928 , 1792
factorial9 , comp-exec , cafeobj-a , 1 , 147.01 , 3928 , 1760
fib32 , comp-exec , cafeobj-a , 0 , 1359.56 , 3928 , 1728
fibfree , comp-exec , cafeobj-a , 0 , 0.40 , 3928 , 1564
fibonacci18 , comp-exec , cafeobj-a , 0 , 4.80 , 3928 , 1728
fibonacci19 , comp-exec , cafeobj-a , 0 , 12.11 , 3928 , 1672
fibonacci20 , comp-exec , cafeobj-a , 0 , 30.83 , 3928 , 1864
fibonacci21 , comp-exec , cafeobj-a , 0 , 30.82 , 3928 , 1724
hanoi8 , comp-exec , cafeobj-a , 0 , 0.70 , 3928 , 1780
hanoi12 , comp-exec , cafeobj-a , 0 , 126.97 , 3928 , 1868
hanoi16 , comp-exec , cafeobj-a , timeout , 1800.01 , 3928 , 1864
hanoi20 , comp-exec , cafeobj-a , timeout , 1800.02 , 3928 , 1832
intnat , comp-exec , cafeobj-a , 0 , 4.60 , 3928 , 1772
langton6 , comp-exec , cafeobj-a , 1 , 6.41 , 3928 , 1788
langton7 , comp-exec , cafeobj-a , 1 , 6.41 , 3928 , 1728
logic3 , comp-exec , cafeobj-a , 0 , 0.20 , 3928 , 1760
maa , comp-exec , cafeobj-a , timeout , 1800.03 , 3928 , 1868
merge , comp-exec , cafeobj-a , 0 , 0.30 , 3928 , 1772
mergesort10 , comp-exec , cafeobj-a , 0 , 0.20 , 3928 , 1784
mergesort100 , comp-exec , cafeobj-a , timeout , 1800.02 , 3928 , 1796
mergesort1000 , comp-exec , cafeobj-a , 1 , 114.35 , 3928 , 1796
missionaries2 , comp-exec , cafeobj-a , 0 , 1.10 , 3928 , 1780
missionaries3 , comp-exec , cafeobj-a , 0 , 2.00 , 3928 , 1728
mul8 , comp-exec , cafeobj-a , 0 , 166.46 , 3928 , 1772
mul16 , comp-exec , cafeobj-a , 0 , 955.41 , 3928 , 1788
mul32 , comp-exec , cafeobj-a , timeout , 1800.04 , 3928 , 1772
natlist , comp-exec , cafeobj-a , 0 , 0.30 , 3928 , 1752
omul8 , comp-exec , cafeobj-a , 0 , 168.43 , 3928 , 1728
omul32 , comp-exec , cafeobj-a , timeout , 1800.01 , 3928 , 1732
permutations6 , comp-exec , cafeobj-a , 0 , 950.98 , 3928 , 1756
permutations7 , comp-exec , cafeobj-a , timeout , 1800.01 , 3928 , 1772
quicksort10 , comp-exec , cafeobj-a , 0 , 0.90 , 3928 , 1788
quicksort100 , comp-exec , cafeobj-a , timeout , 1800.03 , 3928 , 1784
quicksort1000 , comp-exec , cafeobj-a , 1 , 405.88 , 3928 , 1728
revnat100 , comp-exec , cafeobj-a , 0 , 15.93 , 3928 , 1776
revnat1000 , comp-exec , cafeobj-a , timeout , 1800.03 , 3928 , 1784
revnat10000 , comp-exec , cafeobj-a , 1 , 106.14 , 3928 , 1868
