tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 4.7 , 212340 , 152316
haskell , 15 , 0 , 0 , 0 , 100% , 33.71 , 218336 , 154128
lnt , 15 , 0 , 0 , 0 , 100% , 23.7 , 151140 , 27352
lotos , 15 , 0 , 0 , 0 , 100% , 12 , 151140 , 27580
maude , 15 , 0 , 0 , 0 , 100% , 5.8 , 79188 , 6468
mcrl2-default , 15 , 0 , 0 , 0 , 100% , 15.91 , 152380 , 79460
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 169.26 , 218336 , 94732
ocaml , 15 , 0 , 0 , 0 , 100% , 4.1 , 152380 , 83964
opal , 14 , 0 , 0 , 1 , 93.3% , 135.79 , 208260 , 143888
rascal-compil , 14 , 1 , 0 , 0 , 93.3% , 464.35 , 292204 , 168444
rascal-interp , 15 , 0 , 0 , 0 , 100% , 145.14 , 151140 , 27320
scala , 15 , 0 , 0 , 0 , 100% , 133.51 , 302280 , 178596
sml-mlton , 15 , 0 , 0 , 0 , 100% , 147.26 , 218336 , 154144
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 5.2 , 151140 , 27596
stratego , 0 , 15 , 0 , 0 , 0.0% , 1.5 , 61200 , 1172
tom-a , 15 , 0 , 0 , 0 , 100% , 116.52 , 302280 , 178548
tom-b , 15 , 0 , 0 , 0 , 100% , 89.06 , 302280 , 178852
