tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 4.5 , 212340 , 152324
haskell , 15 , 0 , 0 , 0 , 100% , 23.8 , 218336 , 154128
lnt , 15 , 0 , 0 , 0 , 100% , 21.2 , 151140 , 27028
lotos , 15 , 0 , 0 , 0 , 100% , 10.6 , 151140 , 27400
maude , 15 , 0 , 0 , 0 , 100% , 5.2 , 67196 , 2944
mcrl2-jitty , 15 , 0 , 0 , 0 , 100% , 11.81 , 128396 , 64152
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 163.59 , 212340 , 88052
ocaml-compil , 15 , 0 , 0 , 0 , 100% , 5.5 , 212340 , 152312
ocaml-interp , 15 , 0 , 0 , 0 , 100% , 3.2 , 134392 , 70020
opal , 15 , 0 , 0 , 0 , 100% , 16.7 , 212340 , 152324
rascal-compil , 15 , 0 , 0 , 0 , 100% , 395.96 , 302280 , 178432
rascal-interp , 15 , 0 , 0 , 0 , 100% , 93.47 , 151140 , 27120
scala , 15 , 0 , 0 , 0 , 100% , 124.51 , 302280 , 178268
sml-mlton , 15 , 0 , 0 , 0 , 100% , 144.85 , 212340 , 152332
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 3.1 , 151140 , 27248
stratego , 15 , 0 , 0 , 0 , 100% , 149.58 , 151140 , 27192
tom-a , 15 , 0 , 0 , 0 , 100% , 107.9 , 302280 , 178148
tom-b , 15 , 0 , 0 , 0 , 100% , 84.77 , 302280 , 178352
