check1 , comp-exec , lotos , 0.70 , 2272 , 1256
confluence , comp-exec , lotos , 0.70 , 2272 , 1340
empty , comp-exec , lotos , 0.60 , 2272 , 1328
order , comp-exec , lotos , 0.70 , 2272 , 1264
searchinconditions , comp-exec , lotos , 0.70 , 2272 , 1336
soundnessofparallelengines , comp-exec , lotos , 0.70 , 2272 , 1336
tricky , comp-exec , lotos , 0.80 , 2272 , 1408
check1 , comp , haskell , 1.20 , 117600 , 75136
check1 , exec , haskell , 0.10 , 2020 , 56
confluence , comp , haskell , 1.20 , 116576 , 75396
confluence , exec , haskell , 0.10 , 2020 , 56
empty , comp , haskell , 1.20 , 116576 , 75416
empty , exec , haskell , 0.10 , 2020 , 52
order , comp , haskell , 1.20 , 116576 , 75136
order , exec , haskell , 0.10 , 2020 , 56
searchinconditions , comp , haskell , 1.20 , 117600 , 76144
searchinconditions , exec , haskell , 0.10 , 2020 , 56
soundnessofparallelengines , comp , haskell , 1.20 , 116576 , 75044
soundnessofparallelengines , exec , haskell , 0.10 , 2020 , 52
tricky , comp , haskell , 1.30 , 117600 , 75232
tricky , exec , haskell , 0.10 , 2020 , 52
check1 , comp-exec , maude , 0.10 , 2020 , 52
confluence , comp-exec , maude , 0.10 , 2020 , 52
empty , comp-exec , maude , 0.10 , 2020 , 56
order , comp-exec , maude , 0.10 , 2020 , 52
searchinconditions , comp-exec , maude , 0.10 , 2020 , 56
soundnessofparallelengines , comp-exec , maude , 0.10 , 2020 , 56
tricky , comp-exec , maude , 0.10 , 2020 , 52
check1 , comp , mcrl2 , 0.10 , 2020 , 56
check1 , exec , mcrl2 , 0.10 , 2020 , 56
check1 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
check1 , exec , mcrl2-jittyc , 9.31 , 14308 , 9932
confluence , comp , mcrl2 , 0.11 , 2020 , 56
confluence , exec , mcrl2 , 0.10 , 2020 , 56
confluence , comp , mcrl2-jittyc , 0.11 , 2020 , 56
confluence , exec , mcrl2-jittyc , 9.31 , 14312 , 9844
empty , comp , mcrl2 , 0.10 , 2020 , 56
empty , exec , mcrl2 , 0.10 , 2020 , 56
empty , comp , mcrl2-jittyc , 0.10 , 2020 , 56
empty , exec , mcrl2-jittyc , 9.21 , 14276 , 9820
order , comp , mcrl2 , 0.10 , 2020 , 56
order , exec , mcrl2 , 0.10 , 2020 , 52
order , comp , mcrl2-jittyc , 0.10 , 2020 , 56
order , exec , mcrl2-jittyc , 9.32 , 14308 , 9804
searchinconditions , comp , mcrl2 , 0.10 , 2020 , 52
searchinconditions , exec , mcrl2 , 0.10 , 2020 , 56
searchinconditions , comp , mcrl2-jittyc , 0.10 , 2020 , 52
searchinconditions , exec , mcrl2-jittyc , 9.21 , 14312 , 10008
soundnessofparallelengines , comp , mcrl2 , 0.11 , 2020 , 56
soundnessofparallelengines , exec , mcrl2 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , mcrl2-jittyc , 0.11 , 2020 , 56
soundnessofparallelengines , exec , mcrl2-jittyc , 9.31 , 14308 , 9888
tricky , comp , mcrl2 , 0.20 , 12584 , 8836
tricky , exec , mcrl2 , 0.10 , 2020 , 52
tricky , comp , mcrl2-jittyc , 0.20 , 12584 , 8836
tricky , exec , mcrl2-jittyc , 11.31 , 14364 , 10200
check1 , comp , ocaml , 0.10 , 2020 , 56
check1 , exec , ocaml , 0.10 , 2020 , 56
confluence , comp , ocaml , 0.10 , 2020 , 52
confluence , exec , ocaml , 0.10 , 2020 , 52
empty , comp , ocaml , 0.10 , 2020 , 52
empty , exec , ocaml , 0.10 , 2020 , 52
order , comp , ocaml , 0.10 , 2020 , 52
order , exec , ocaml , 0.10 , 2020 , 56
searchinconditions , comp , ocaml , 0.10 , 2020 , 52
searchinconditions , exec , ocaml , 0.10 , 2020 , 56
soundnessofparallelengines , comp , ocaml , 0.10 , 2020 , 56
soundnessofparallelengines , exec , ocaml , 0.10 , 2020 , 56
tricky , comp , ocaml , 0.10 , 2020 , 56
tricky , exec , ocaml , 0.10 , 2020 , 56
check1 , comp , opal , 0.70 , 2272 , 580
check1 , exec , opal , 0.10 , 2020 , 52
confluence , comp , opal , 0.70 , 2272 , 584
confluence , exec , opal , 0.10 , 2020 , 52
empty , comp , opal , 0.70 , 2272 , 572
empty , exec , opal , 0.10 , 2020 , 56
order , comp , opal , 0.80 , 2272 , 588
order , exec , opal , 0.10 , 2020 , 56
searchinconditions , comp , opal , 0.60 , 2272 , 592
searchinconditions , exec , opal , 0.10 , 2020 , 52
soundnessofparallelengines , comp , opal , 0.90 , 2272 , 588
soundnessofparallelengines , exec , opal , 0.10 , 2020 , 52
tricky , comp , opal , 1.30 , 2272 , 616
tricky , exec , opal , 0.10 , 2020 , 56
check1 , comp-exec , rascal , 4.11 , 1561132 , 110116
confluence , comp-exec , rascal , 4.31 , 1561788 , 111748
empty , comp-exec , rascal , 4.31 , 1596096 , 114040
order , comp-exec , rascal , 4.41 , 1591392 , 103804
