calls , comp-exec , lnt , 1.40 , 2272 , 1272
check1 , comp-exec , lnt , 1.50 , 2272 , 1264
confluence , comp-exec , lnt , 1.50 , 2272 , 1240
empty , comp-exec , lnt , 1.40 , 2272 , 1416
order , comp-exec , lnt , 1.50 , 2272 , 1340
searchinconditions , comp-exec , lnt , 1.40 , 2272 , 1272
soundnessofparallelengines , comp-exec , lnt , 1.40 , 2272 , 1420
tricky , comp-exec , lnt , 1.50 , 2272 , 1336
calls , comp-exec , lotos , 0.70 , 2272 , 1344
check1 , comp-exec , lotos , 0.80 , 2272 , 1408
confluence , comp-exec , lotos , 0.80 , 2272 , 1332
empty , comp-exec , lotos , 0.80 , 2272 , 1252
order , comp-exec , lotos , 0.80 , 2272 , 1408
searchinconditions , comp-exec , lotos , 0.71 , 2272 , 1416
soundnessofparallelengines , comp-exec , lotos , 0.80 , 2272 , 1260
tricky , comp-exec , lotos , 0.81 , 2272 , 1236
calls , comp , haskell , 1.30 , 117600 , 75484
calls , exec , haskell , 0.10 , 2020 , 52
check1 , comp , haskell , 1.30 , 117600 , 76880
check1 , exec , haskell , 0.10 , 2020 , 52
confluence , comp , haskell , 1.20 , 117600 , 75948
confluence , exec , haskell , 0.10 , 2020 , 52
empty , comp , haskell , 1.10 , 116576 , 75456
empty , exec , haskell , 0.10 , 2020 , 56
order , comp , haskell , 1.21 , 117600 , 75012
order , exec , haskell , 0.10 , 2020 , 56
searchinconditions , comp , haskell , 1.20 , 116576 , 75356
searchinconditions , exec , haskell , 0.10 , 2020 , 52
soundnessofparallelengines , comp , haskell , 1.20 , 116576 , 75528
soundnessofparallelengines , exec , haskell , 0.10 , 2020 , 52
tricky , comp , haskell , 1.30 , 117600 , 74880
tricky , exec , haskell , 0.10 , 2020 , 56
calls , comp-exec , maude , 0.10 , 2020 , 52
check1 , comp-exec , maude , 0.20 , 10448 , 8524
confluence , comp-exec , maude , 0.20 , 13380 , 10500
empty , comp-exec , maude , 0.10 , 2020 , 56
order , comp-exec , maude , 0.10 , 2020 , 52
searchinconditions , comp-exec , maude , 0.10 , 2020 , 52
soundnessofparallelengines , comp-exec , maude , 0.10 , 2020 , 52
tricky , comp-exec , maude , 0.10 , 2020 , 56
calls , comp , mcrl2 , 0.10 , 2020 , 52
calls , exec , mcrl2 , 0.10 , 2020 , 52
calls , comp , mcrl2-jittyc , 0.10 , 2020 , 52
calls , exec , mcrl2-jittyc , 10.81 , 14372 , 10264
check1 , comp , mcrl2 , 0.10 , 2020 , 56
check1 , exec , mcrl2 , 0.10 , 2020 , 52
check1 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
check1 , exec , mcrl2-jittyc , 9.41 , 14308 , 9976
confluence , comp , mcrl2 , 0.10 , 2020 , 56
confluence , exec , mcrl2 , 0.10 , 2020 , 56
confluence , comp , mcrl2-jittyc , 0.10 , 2020 , 52
confluence , exec , mcrl2-jittyc , 9.21 , 14312 , 10044
empty , comp , mcrl2 , 0.10 , 2020 , 52
empty , exec , mcrl2 , 0.10 , 2020 , 56
empty , comp , mcrl2-jittyc , 0.10 , 2020 , 56
empty , exec , mcrl2-jittyc , 9.21 , 14276 , 9944
order , comp , mcrl2 , 0.10 , 2020 , 52
order , exec , mcrl2 , 0.10 , 2020 , 56
order , comp , mcrl2-jittyc , 0.10 , 2020 , 56
order , exec , mcrl2-jittyc , 9.31 , 14308 , 9844
searchinconditions , comp , mcrl2 , 0.10 , 2020 , 52
searchinconditions , exec , mcrl2 , 0.10 , 2020 , 56
searchinconditions , comp , mcrl2-jittyc , 0.10 , 2020 , 52
searchinconditions , exec , mcrl2-jittyc , 9.31 , 14312 , 9792
soundnessofparallelengines , comp , mcrl2 , 0.10 , 2020 , 52
soundnessofparallelengines , exec , mcrl2 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , mcrl2-jittyc , 0.10 , 2020 , 52
soundnessofparallelengines , exec , mcrl2-jittyc , 9.21 , 14308 , 10060
tricky , comp , mcrl2 , 0.10 , 2020 , 52
tricky , exec , mcrl2 , 0.10 , 2020 , 56
tricky , comp , mcrl2-jittyc , 0.10 , 2020 , 52
tricky , exec , mcrl2-jittyc , 11.42 , 14468 , 10108
calls , comp , ocaml , 0.10 , 2020 , 52
calls , exec , ocaml , 0.10 , 2020 , 56
check1 , comp , ocaml , 0.10 , 2020 , 52
check1 , exec , ocaml , 0.10 , 2020 , 52
confluence , comp , ocaml , 0.10 , 2020 , 56
confluence , exec , ocaml , 0.10 , 2020 , 56
empty , comp , ocaml , 0.10 , 2020 , 52
empty , exec , ocaml , 0.10 , 2020 , 56
order , comp , ocaml , 0.10 , 2020 , 52
order , exec , ocaml , 0.10 , 2020 , 52
searchinconditions , comp , ocaml , 0.10 , 2020 , 52
searchinconditions , exec , ocaml , 0.10 , 2020 , 52
soundnessofparallelengines , comp , ocaml , 0.10 , 2020 , 56
soundnessofparallelengines , exec , ocaml , 0.10 , 2020 , 56
tricky , comp , ocaml , 0.10 , 2020 , 52
tricky , exec , ocaml , 0.10 , 2020 , 52
calls , comp , opal , 3.40 , 2272 , 588
calls , exec , opal , 0.10 , 2020 , 52
check1 , comp , opal , 0.90 , 2272 , 572
check1 , exec , opal , 0.10 , 2020 , 52
confluence , comp , opal , 0.71 , 2272 , 576
confluence , exec , opal , 0.10 , 2020 , 52
empty , comp , opal , 0.70 , 2272 , 588
empty , exec , opal , 0.10 , 2020 , 56
order , comp , opal , 0.80 , 2272 , 584
order , exec , opal , 0.10 , 2020 , 52
searchinconditions , comp , opal , 0.70 , 2272 , 604
searchinconditions , exec , opal , 0.10 , 2020 , 52
soundnessofparallelengines , comp , opal , 0.80 , 2272 , 572
soundnessofparallelengines , exec , opal , 0.10 , 2020 , 52
tricky , comp , opal , 1.40 , 2272 , 592
tricky , exec , opal , 0.10 , 2020 , 56
calls , comp-exec , rascal , 7.21 , 1562332 , 108332
check1 , comp-exec , rascal , 6.21 , 1562280 , 113224
