calls , comp , haskell , 0 , 8.99 , 10076 , 1860
calls , exec , haskell , 0 , 0.10 , 4080 , 76
check1 , comp , haskell , 0 , 1.40 , 10076 , 1928
check1 , exec , haskell , 0 , 0.10 , 4080 , 80
closure , comp , haskell , 0 , 3.50 , 10076 , 1856
closure , exec , haskell , 0 , 0.10 , 4080 , 80
confluence , comp , haskell , 0 , 1.40 , 10076 , 1760
confluence , exec , haskell , 0 , 0.10 , 4080 , 80
empty , comp , haskell , 0 , 1.40 , 10076 , 1732
empty , exec , haskell , 0 , 0.10 , 4080 , 80
garbagecollection , comp , haskell , 0 , 1.50 , 10076 , 1924
garbagecollection , exec , haskell , 0 , 0.10 , 4080 , 80
natlist , comp , haskell , 0 , 2.00 , 10076 , 1928
natlist , exec , haskell , 0 , 0.10 , 4080 , 80
oddeven , comp , haskell , 0 , 1.60 , 10076 , 1900
oddeven , exec , haskell , 0 , 0.10 , 4080 , 80
order , comp , haskell , 0 , 1.40 , 10076 , 1928
order , exec , haskell , 0 , 0.10 , 4080 , 76
revelt , comp , haskell , 0 , 1.60 , 10076 , 1928
revelt , exec , haskell , 0 , 0.10 , 4080 , 76
searchinconditions , comp , haskell , 0 , 1.40 , 10076 , 1792
searchinconditions , exec , haskell , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , comp , haskell , 0 , 1.40 , 10076 , 1792
soundnessofparallelengines , exec , haskell , 0 , 0.10 , 4080 , 80
tautologyhard , comp , haskell , 0 , 1.40 , 10076 , 1856
tautologyhard , exec , haskell , 0 , 0.10 , 4080 , 76
tricky , comp , haskell , 0 , 1.60 , 10076 , 1796
tricky , exec , haskell , 0 , 0.10 , 4080 , 80
calls , comp-exec , lnt , 0 , 2.40 , 10076 , 1924
check1 , comp-exec , lnt , 0 , 1.40 , 10076 , 1724
closure , comp-exec , lnt , 0 , 2.80 , 10076 , 1928
confluence , comp-exec , lnt , 0 , 1.40 , 10076 , 1860
empty , comp-exec , lnt , 0 , 1.40 , 10076 , 1792
garbagecollection , comp-exec , lnt , 0 , 1.40 , 10076 , 1892
natlist , comp-exec , lnt , 0 , 1.70 , 10076 , 1856
oddeven , comp-exec , lnt , 0 , 1.40 , 10076 , 1860
order , comp-exec , lnt , 0 , 1.40 , 10076 , 1852
revelt , comp-exec , lnt , 0 , 1.40 , 10076 , 1876
searchinconditions , comp-exec , lnt , 0 , 1.40 , 10076 , 1856
soundnessofparallelengines , comp-exec , lnt , 0 , 1.40 , 10076 , 1896
tautologyhard , comp-exec , lnt , 0 , 1.50 , 10076 , 1856
tricky , comp-exec , lnt , 0 , 1.40 , 10076 , 1920
calls , comp-exec , lotos , 0 , 0.70 , 10076 , 1924
check1 , comp-exec , lotos , 0 , 0.70 , 10076 , 1848
