calls , comp , clean , 0 , 0.20 , 3924 , 1740
calls , exec , clean , 0 , 0.10 , 2020 , 56
calls , comp , clean-hack , 0 , 0.20 , 3924 , 1796
calls , exec , clean-hack , 0 , 0.10 , 2020 , 60
check1 , comp , clean , 0 , 0.20 , 3924 , 1836
check1 , exec , clean , 0 , 0.10 , 2020 , 56
check1 , comp , clean-hack , 0 , 0.20 , 3924 , 1796
check1 , exec , clean-hack , 0 , 0.10 , 2020 , 56
check2 , comp , clean , 0 , 0.20 , 3924 , 1796
check2 , exec , clean , 0 , 0.10 , 2020 , 56
check2 , comp , clean-hack , 0 , 0.20 , 3924 , 1800
check2 , exec , clean-hack , 0 , 0.10 , 2020 , 56
confluence , comp , clean , 0 , 0.20 , 3924 , 1760
confluence , exec , clean , 0 , 0.10 , 2020 , 60
confluence , comp , clean-hack , 0 , 0.20 , 3924 , 1608
confluence , exec , clean-hack , 0 , 0.10 , 2020 , 60
empty , comp , clean , 0 , 0.20 , 3924 , 1784
empty , exec , clean , 0 , 0.10 , 2020 , 60
empty , comp , clean-hack , 0 , 0.20 , 3924 , 1608
empty , exec , clean-hack , 0 , 0.10 , 2020 , 60
fibonacci05 , comp , clean , 0 , 0.20 , 3924 , 1736
fibonacci05 , exec , clean , 0 , 0.10 , 2020 , 56
fibonacci05 , comp , clean-hack , 0 , 0.20 , 3924 , 1736
fibonacci05 , exec , clean-hack , 0 , 0.10 , 2020 , 56
garbagecollection , comp , clean , 0 , 0.20 , 3924 , 1780
garbagecollection , exec , clean , 0 , 0.10 , 2020 , 56
garbagecollection , comp , clean-hack , 0 , 0.20 , 3924 , 1672
garbagecollection , exec , clean-hack , 0 , 0.10 , 2020 , 56
hanoi4 , comp , clean , 0 , 0.20 , 3924 , 1836
hanoi4 , exec , clean , 0 , 0.10 , 2020 , 60
hanoi4 , comp , clean-hack , 0 , 0.20 , 3924 , 1796
hanoi4 , exec , clean-hack , 0 , 0.10 , 2020 , 56
oddeven , comp , clean , 0 , 0.20 , 3924 , 1796
oddeven , exec , clean , 0 , 0.10 , 2020 , 60
oddeven , comp , clean-hack , 0 , 0.20 , 3924 , 1780
oddeven , exec , clean-hack , 0 , 0.10 , 2020 , 60
order , comp , clean , 0 , 0.20 , 3924 , 1608
order , exec , clean , 0 , 0.10 , 2020 , 56
order , comp , clean-hack , 0 , 0.20 , 3924 , 1672
order , exec , clean-hack , 0 , 0.10 , 2020 , 56
revelt , comp , clean , 0 , 0.20 , 3924 , 1876
revelt , exec , clean , 0 , 0.10 , 2020 , 56
revelt , comp , clean-hack , 0 , 0.20 , 3924 , 1736
revelt , exec , clean-hack , 0 , 0.10 , 2020 , 56
searchinconditions , comp , clean , 0 , 0.20 , 3924 , 1836
searchinconditions , exec , clean , 0 , 0.10 , 2020 , 56
searchinconditions , comp , clean-hack , 0 , 0.20 , 3924 , 1876
searchinconditions , exec , clean-hack , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , clean , 0 , 0.20 , 3924 , 1608
soundnessofparallelengines , exec , clean , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , clean-hack , 0 , 0.20 , 3924 , 1748
soundnessofparallelengines , exec , clean-hack , 0 , 0.10 , 2020 , 56
tautologyhard , comp , clean , 0 , 0.20 , 3924 , 1760
tautologyhard , exec , clean , 0 , 0.10 , 2020 , 56
tautologyhard , comp , clean-hack , 0 , 0.20 , 3924 , 1784
tautologyhard , exec , clean-hack , 0 , 0.10 , 2020 , 56
tricky , comp , clean , 0 , 0.20 , 3924 , 1736
tricky , exec , clean , 0 , 0.10 , 2020 , 60
tricky , comp , clean-hack , 0 , 0.20 , 3924 , 1800
tricky , exec , clean-hack , 0 , 0.10 , 2020 , 60
calls , comp , haskell , 0 , 1.20 , 3924 , 1744
calls , exec , haskell , 0 , 0.10 , 2020 , 56
check1 , comp , haskell , 0 , 1.10 , 3924 , 1740
check1 , exec , haskell , 0 , 0.10 , 2020 , 56
check2 , comp , haskell , 0 , 1.20 , 3924 , 1760
check2 , exec , haskell , 0 , 0.10 , 2020 , 56
confluence , comp , haskell , 0 , 1.20 , 3924 , 1740
confluence , exec , haskell , 0 , 0.10 , 2020 , 60
empty , comp , haskell , 0 , 1.10 , 3924 , 1780
empty , exec , haskell , 0 , 0.10 , 2020 , 56
fibonacci05 , comp , haskell , 0 , 1.20 , 3924 , 1796
