calls , comp-exec , cafeobj-a , 0 , 3.00 , 10076 , 1820
check1 , comp-exec , cafeobj-a , 0 , 0.20 , 10076 , 1872
check2 , comp-exec , cafeobj-a , 0 , 0.20 , 10076 , 1792
confluence , comp-exec , cafeobj-a , 0 , 0.20 , 10076 , 1816
empty , comp-exec , cafeobj-a , 0 , 0.20 , 10076 , 1864
fibonacci05 , comp-exec , cafeobj-a , 0 , 0.20 , 10076 , 1928
garbagecollection , comp-exec , cafeobj-a , 0 , 0.20 , 10076 , 1756
hanoi4 , comp-exec , cafeobj-a , 0 , 0.20 , 10076 , 1756
oddeven , comp-exec , cafeobj-a , 0 , 24.80 , 10076 , 1872
order , comp-exec , cafeobj-a , 0 , 0.30 , 10076 , 1932
revelt , comp-exec , cafeobj-a , 0 , 0.20 , 10076 , 1932
searchinconditions , comp-exec , cafeobj-a , 0 , 0.20 , 10076 , 1816
soundnessofparallelengines , comp-exec , cafeobj-a , 0 , 0.20 , 10076 , 1928
tautologyhard , comp-exec , cafeobj-a , 0 , 0.20 , 10076 , 1940
tricky , comp-exec , cafeobj-a , 0 , 0.20 , 10076 , 1920
calls , comp-exec , cafeobj-b , 0 , 0.40 , 10076 , 1924
check1 , comp-exec , cafeobj-b , 0 , 0.20 , 10076 , 1936
check2 , comp-exec , cafeobj-b , 0 , 0.40 , 10076 , 1872
confluence , comp-exec , cafeobj-b , 0 , 0.40 , 10076 , 1820
empty , comp-exec , cafeobj-b , 0 , 0.20 , 10076 , 1748
fibonacci05 , comp-exec , cafeobj-b , 0 , 0.40 , 10076 , 1924
garbagecollection , comp-exec , cafeobj-b , 0 , 0.40 , 10076 , 1820
hanoi4 , comp-exec , cafeobj-b , 0 , 0.40 , 10076 , 1748
oddeven , comp-exec , cafeobj-b , 0 , 0.40 , 10076 , 1860
order , comp-exec , cafeobj-b , 0 , 0.40 , 10076 , 1876
revelt , comp-exec , cafeobj-b , 0 , 0.40 , 10076 , 1816
searchinconditions , comp-exec , cafeobj-b , 0 , 0.40 , 10076 , 1936
soundnessofparallelengines , comp-exec , cafeobj-b , 0 , 0.40 , 10076 , 1752
tautologyhard , comp-exec , cafeobj-b , 0 , 0.40 , 10076 , 1872
tricky , comp-exec , cafeobj-b , 0 , 0.40 , 10076 , 1936
calls , comp , clean , 0 , 1.50 , 10076 , 1932
calls , exec , clean , 0 , 0.10 , 4080 , 84
calls , comp , clean-hack , 0 , 0.40 , 10076 , 1912
calls , exec , clean-hack , 0 , 0.10 , 4080 , 80
check1 , comp , clean , 0 , 0.20 , 10076 , 1940
check1 , exec , clean , 0 , 0.10 , 4080 , 84
check1 , comp , clean-hack , 0 , 0.40 , 10076 , 1912
check1 , exec , clean-hack , 0 , 0.10 , 4080 , 80
check2 , comp , clean , 0 , 0.20 , 10076 , 1932
check2 , exec , clean , 0 , 0.10 , 4080 , 84
check2 , comp , clean-hack , 0 , 0.40 , 10076 , 1932
check2 , exec , clean-hack , 0 , 0.10 , 4080 , 80
confluence , comp , clean , 0 , 0.20 , 10076 , 1924
confluence , exec , clean , 0 , 0.10 , 4080 , 80
confluence , comp , clean-hack , 0 , 0.40 , 10076 , 1924
confluence , exec , clean-hack , 0 , 0.10 , 4080 , 84
empty , comp , clean , 0 , 0.20 , 10076 , 1756
empty , exec , clean , 0 , 0.10 , 4080 , 84
empty , comp , clean-hack , 0 , 0.40 , 10076 , 1904
empty , exec , clean-hack , 0 , 0.10 , 4080 , 80
fibonacci05 , comp , clean , 0 , 0.20 , 10076 , 1792
fibonacci05 , exec , clean , 0 , 0.10 , 4080 , 84
fibonacci05 , comp , clean-hack , 0 , 0.40 , 10076 , 1820
fibonacci05 , exec , clean-hack , 0 , 0.10 , 4080 , 84
garbagecollection , comp , clean , 0 , 0.20 , 10076 , 1916
garbagecollection , exec , clean , 0 , 0.10 , 4080 , 80
garbagecollection , comp , clean-hack , 0 , 0.40 , 10076 , 1752
garbagecollection , exec , clean-hack , 0 , 0.10 , 4080 , 84
hanoi4 , comp , clean , 0 , 0.20 , 10076 , 1924
hanoi4 , exec , clean , 0 , 0.10 , 4080 , 80
hanoi4 , comp , clean-hack , 0 , 0.40 , 10076 , 1816
hanoi4 , exec , clean-hack , 0 , 0.10 , 4080 , 84
oddeven , comp , clean , 0 , 0.20 , 10076 , 1792
oddeven , exec , clean , 0 , 0.10 , 4080 , 80
oddeven , comp , clean-hack , 0 , 0.40 , 10076 , 1904
oddeven , exec , clean-hack , 0 , 0.10 , 4080 , 80
order , comp , clean , 0 , 0.20 , 10076 , 1872
order , exec , clean , 0 , 0.10 , 4080 , 84
order , comp , clean-hack , 0 , 0.40 , 10076 , 1756
order , exec , clean-hack , 0 , 0.10 , 4080 , 84
revelt , comp , clean , 0 , 0.20 , 10076 , 1756
revelt , exec , clean , 0 , 0.10 , 4080 , 84
revelt , comp , clean-hack , 0 , 0.40 , 10076 , 1876
revelt , exec , clean-hack , 0 , 0.10 , 4080 , 80
searchinconditions , comp , clean , 0 , 0.20 , 10076 , 1752
searchinconditions , exec , clean , 0 , 0.10 , 4080 , 84
searchinconditions , comp , clean-hack , 0 , 0.40 , 10076 , 1904
searchinconditions , exec , clean-hack , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , comp , clean , 0 , 0.20 , 10076 , 1876
soundnessofparallelengines , exec , clean , 0 , 0.10 , 4080 , 84
soundnessofparallelengines , comp , clean-hack , 0 , 0.40 , 10076 , 1864
soundnessofparallelengines , exec , clean-hack , 0 , 0.10 , 4080 , 80
tautologyhard , comp , clean , 0 , 0.20 , 10076 , 1820
tautologyhard , exec , clean , 0 , 0.10 , 4080 , 80
tautologyhard , comp , clean-hack , 0 , 0.40 , 10076 , 1864
tautologyhard , exec , clean-hack , 0 , 0.10 , 4080 , 84
tricky , comp , clean , 0 , 0.20 , 10076 , 1900
tricky , exec , clean , 0 , 0.10 , 4080 , 80
tricky , comp , clean-hack , 0 , 0.40 , 10076 , 1940
tricky , exec , clean-hack , 0 , 0.10 , 4080 , 84
