test_name,real_time,max_mem
loop-add-10M.json,4.64,18596.0
ackermann32.json,0.02,18908.0
fibonacci10.json,0.02,19516.0
loop-exp-1b-1M.json,10.41,29384.0
loop-exp-4b-100k.json,1.54,25292.0
loop-divadd-10M.json,12.56,24276.0
ackermann31.json,0.04,19812.0
loop-mulmod-2M.json,3.01,24296.0
manyFunctions100.json,0.02,20072.0
loop-exp-16b-100k.json,4.4,28600.0
loop-exp-2b-100k.json,1.11,24340.0
loop-divadd-unr100-10M.json,7.69,24044.0
loop-exp-8b-100k.json,1.61,24956.0
loop-exp-32b-100k.json,6.07,25796.0
loop-exp-nop-1M.json,0.46,18768.0
loop-mul.json,1.47,23552.0
fibonacci16.json,0.03,20392.0
ackermann33.json,0.03,18808.0
