test_name,trial,ghc_real_time,ghc_max_mem,user_time,sys_time,real_time,max_mem,avg_mem
benchsym10.hs,0,0.45,122112.0,0.0,0.0,0.0,3312.0,0.0
benchsym10.hs,1,0.43,121896.0,0.0,0.0,0.0,3548.0,0.0
benchsym10.hs,2,0.42,122516.0,0.0,0.0,0.0,3688.0,0.0
benchsym10.hs,3,0.41,121948.0,0.0,0.0,0.0,3316.0,0.0
benchsym10.hs,4,0.41,122236.0,0.0,0.0,0.0,3484.0,0.0
missionaries3.hs,0,0.41,122740.0,0.0,0.0,0.0,3592.0,0.0
missionaries3.hs,1,0.41,122728.0,0.0,0.0,0.0,3596.0,0.0
missionaries3.hs,2,0.41,122468.0,0.0,0.0,0.0,3596.0,0.0
missionaries3.hs,3,0.39,122696.0,0.0,0.0,0.0,3532.0,0.0
missionaries3.hs,4,0.4,122660.0,0.0,0.0,0.0,3644.0,0.0
factorial7.hs,0,0.5,140324.0,0.0,0.0,0.0,4828.0,0.0
factorial7.hs,1,0.4,121968.0,0.0,0.0,0.0,4800.0,0.0
factorial7.hs,2,0.39,121672.0,0.0,0.0,0.0,4760.0,0.0
factorial7.hs,3,0.39,121996.0,0.0,0.0,0.0,4920.0,0.0
factorial7.hs,4,0.41,122160.0,0.0,0.0,0.0,4816.0,0.0
check2.hs,0,0.48,140056.0,0.0,0.0,0.0,3508.0,0.0
check2.hs,1,0.39,121136.0,0.0,0.0,0.0,3408.0,0.0
check2.hs,2,0.39,121116.0,0.0,0.0,0.0,3400.0,0.0
check2.hs,3,0.4,121124.0,0.0,0.0,0.0,3412.0,0.0
check2.hs,4,0.4,121136.0,0.0,0.0,0.0,3460.0,0.0
tricky.hs,0,0.56,140652.0,0.0,0.0,0.0,3532.0,0.0
tricky.hs,1,0.4,122080.0,0.0,0.0,0.0,3424.0,0.0
tricky.hs,2,0.39,122100.0,0.0,0.0,0.0,3336.0,0.0
tricky.hs,3,0.39,122576.0,0.0,0.0,0.0,3248.0,0.0
tricky.hs,4,0.39,122036.0,0.0,0.0,0.0,3256.0,0.0
revnat10000.hs,0,0.54,141436.0,5.05,0.02,5.07,7416.0,0.0
revnat10000.hs,1,0.4,122096.0,5.31,0.03,5.35,7536.0,0.0
revnat10000.hs,2,0.42,122120.0,5.26,0.03,5.29,7356.0,0.0
revnat10000.hs,3,0.41,122184.0,5.25,0.04,5.3,7444.0,0.0
revnat10000.hs,4,0.38,122436.0,5.8,0.03,5.83,7440.0,0.0
benchexpr22.hs,0,0.78,149168.0,0.58,0.0,0.59,6564.0,0.0
benchexpr22.hs,1,0.4,122656.0,0.57,0.0,0.58,6204.0,0.0
benchexpr22.hs,2,0.4,122656.0,0.57,0.0,0.58,6376.0,0.0
benchexpr22.hs,3,0.4,121908.0,0.57,0.0,0.58,6388.0,0.0
benchexpr22.hs,4,0.4,121988.0,0.57,0.0,0.57,6480.0,0.0
bubblesort720.hs,0,0.56,140824.0,0.17,0.0,0.17,4424.0,0.0
bubblesort720.hs,1,0.38,122192.0,0.18,0.0,0.18,4428.0,0.0
bubblesort720.hs,2,0.4,121928.0,0.18,0.0,0.18,4656.0,0.0
bubblesort720.hs,3,0.38,122012.0,0.17,0.0,0.17,4544.0,0.0
bubblesort720.hs,4,0.38,121824.0,0.18,0.0,0.18,4792.0,0.0
closure.hs,0,1.12,183896.0,0.0,0.0,0.0,5988.0,0.0
closure.hs,1,0.41,122344.0,0.0,0.0,0.0,6072.0,0.0
closure.hs,2,0.41,122380.0,0.0,0.0,0.0,5992.0,0.0
closure.hs,3,0.42,122404.0,0.0,0.0,0.0,5996.0,0.0
closure.hs,4,0.4,122348.0,0.0,0.0,0.0,5940.0,0.0
add8.hs,0,62.83,2238980.0,0.01,0.0,0.01,8400.0,0.0
add8.hs,1,0.48,136924.0,0.01,0.0,0.01,8400.0,0.0
add8.hs,2,0.47,136952.0,0.01,0.0,0.01,8412.0,0.0
add8.hs,3,0.46,137224.0,0.01,0.0,0.01,8412.0,0.0
add8.hs,4,0.47,136932.0,0.01,0.0,0.01,8460.0,0.0
evaltree.hs,0,0.64,141348.0,0.42,0.04,0.46,159996.0,0.0
evaltree.hs,1,0.41,121888.0,0.42,0.04,0.46,159932.0,0.0
evaltree.hs,2,0.4,121920.0,0.43,0.04,0.47,159936.0,0.0
evaltree.hs,3,0.4,122344.0,0.43,0.04,0.48,160184.0,0.0
evaltree.hs,4,0.39,122240.0,0.42,0.05,0.47,159940.0,0.0
benchsym22.hs,0,0.75,149508.0,0.31,0.0,0.31,4468.0,0.0
benchsym22.hs,1,0.4,121768.0,0.31,0.0,0.31,4512.0,0.0
benchsym22.hs,2,0.39,121948.0,0.3,0.0,0.31,4436.0,0.0
benchsym22.hs,3,0.39,121952.0,0.31,0.0,0.31,4512.0,0.0
