test_name,trial,user_time,sys_time,real_time,max_mem,avg_mem
fibonacci18.k,0,0.0,0.0,0.0,6936.0,0.0
fibonacci18.k,1,0.0,0.0,0.0,7120.0,0.0
fibonacci18.k,2,0.0,0.0,0.0,6928.0,0.0
fibonacci18.k,3,0.0,0.0,0.0,7164.0,0.0
fibonacci18.k,4,0.0,0.0,0.0,7240.0,0.0
tak18.k,0,0.01,0.0,0.01,12732.0,0.0
tak18.k,1,0.0,0.0,0.01,12860.0,0.0
tak18.k,2,0.0,0.0,0.01,12808.0,0.0
tak18.k,3,0.01,0.0,0.01,12804.0,0.0
tak18.k,4,0.0,0.0,0.01,12584.0,0.0
hanoi4.k,0,0.0,0.0,0.0,5892.0,0.0
hanoi4.k,1,0.0,0.0,0.0,5848.0,0.0
hanoi4.k,2,0.0,0.0,0.0,5732.0,0.0
hanoi4.k,3,0.0,0.0,0.0,5836.0,0.0
hanoi4.k,4,0.0,0.0,0.0,5844.0,0.0
sieve10000.k,0,59.71,0.14,59.86,271020.0,0.0
sieve10000.k,1,58.84,0.15,59.0,271004.0,0.0
sieve10000.k,2,56.65,0.08,56.74,270824.0,0.0
sieve10000.k,3,56.83,0.11,56.95,270804.0,0.0
sieve10000.k,4,59.02,0.12,59.15,270864.0,0.0
empty.k,0,0.0,0.0,0.0,5812.0,0.0
empty.k,1,0.0,0.0,0.0,5600.0,0.0
empty.k,2,0.0,0.0,0.0,5596.0,0.0
empty.k,3,0.0,0.0,0.0,5604.0,0.0
empty.k,4,0.0,0.0,0.0,5576.0,0.0
check1.k,0,0.0,0.0,0.01,5664.0,0.0
check1.k,1,0.0,0.0,0.0,5840.0,0.0
check1.k,2,0.0,0.0,0.0,5860.0,0.0
check1.k,3,0.0,0.0,0.0,5860.0,0.0
check1.k,4,0.0,0.0,0.0,5912.0,0.0
benchexpr20.k,0,0.24,0.1,0.34,314428.0,0.0
benchexpr20.k,1,0.22,0.08,0.31,314428.0,0.0
benchexpr20.k,2,0.23,0.08,0.31,314332.0,0.0
benchexpr20.k,3,0.23,0.07,0.31,314200.0,0.0
benchexpr20.k,4,0.21,0.1,0.32,314428.0,0.0
oddeven.k,0,2.63,1.39,4.03,5256296.0,0.0
oddeven.k,1,2.64,1.4,4.04,5256244.0,0.0
oddeven.k,2,2.67,1.32,4.0,5255988.0,0.0
oddeven.k,3,2.7,1.33,4.04,5256220.0,0.0
oddeven.k,4,2.66,1.36,4.03,5256248.0,0.0
maa.k,0,1.84,0.23,2.08,911088.0,0.0
maa.k,1,1.97,0.27,2.24,911228.0,0.0
maa.k,2,1.8,0.28,2.08,911132.0,0.0
maa.k,3,1.82,0.27,2.1,910844.0,0.0
maa.k,4,1.79,0.28,2.07,911064.0,0.0
revnat1000.k,0,0.09,0.0,0.1,18408.0,0.0
revnat1000.k,1,0.07,0.01,0.08,18544.0,0.0
revnat1000.k,2,0.07,0.0,0.08,18304.0,0.0
revnat1000.k,3,0.07,0.01,0.08,18212.0,0.0
revnat1000.k,4,0.07,0.01,0.08,18212.0,0.0
quicksort10.k,0,0.0,0.0,0.0,6312.0,0.0
quicksort10.k,1,0.0,0.0,0.0,6232.0,0.0
quicksort10.k,2,0.0,0.0,0.0,6448.0,0.0
quicksort10.k,3,0.0,0.0,0.0,6476.0,0.0
quicksort10.k,4,0.0,0.0,0.0,6244.0,0.0
mul16.k,0,0.88,0.08,0.98,210240.0,0.0
mul16.k,1,0.93,0.05,0.99,210024.0,0.0
mul16.k,2,0.92,0.07,0.99,210164.0,0.0
mul16.k,3,0.92,0.08,1.0,210232.0,0.0
mul16.k,4,0.92,0.08,1.01,209928.0,0.0
bubblesort20.k,0,0.0,0.0,0.0,5864.0,0.0
bubblesort20.k,1,0.0,0.0,0.0,5616.0,0.0
bubblesort20.k,2,0.0,0.0,0.0,5676.0,0.0
bubblesort20.k,3,0.0,0.0,0.0,5896.0,0.0
