test_name,ghc_real_time,ghc_max_mem,user_time,sys_time,real_time,max_mem,avg_mem
benchsym10.hs,0.53,121940.0,0.0,0.0,0.0,4436.0,0.0
missionaries3.hs,0.48,121468.0,0.0,0.0,0.0,4408.0,0.0
factorial7.hs,0.47,121596.0,0.0,0.0,0.0,4752.0,0.0
check2.hs,0.45,122200.0,0.0,0.0,0.0,3224.0,0.0
tricky.hs,0.43,121596.0,0.0,0.0,0.0,3244.0,0.0
revnat10000.hs,0.43,121616.0,13.98,0.09,14.09,8456.0,0.0
benchexpr22.hs,0.44,121416.0,0.91,0.0,0.91,6320.0,0.0
bubblesort720.hs,0.45,121712.0,0.22,0.0,0.22,4716.0,0.0
closure.hs,0.43,121692.0,0.0,0.0,0.0,5940.0,0.0
add8.hs,0.66,158944.0,0.01,0.0,0.01,15376.0,0.0
evaltree.hs,0.45,121668.0,1.25,0.09,1.35,339388.0,0.0
benchsym22.hs,0.48,121696.0,0.54,0.0,0.54,6204.0,0.0
fibonacci18.hs,0.47,121592.0,0.0,0.0,0.0,4540.0,0.0
tak36.hs,0.46,121568.0,0.22,0.0,0.22,4448.0,0.0
natlist.hs,0.44,121592.0,0.0,0.0,0.0,4620.0,0.0
factorial9.hs,0.46,121732.0,0.08,0.0,0.08,21668.0,0.0
mergesort1000.hs,0.47,122076.0,0.12,0.0,0.12,4792.0,0.0
mergesort100.hs,0.46,121636.0,0.0,0.0,0.0,4684.0,0.0
fibonacci20.hs,0.55,121648.0,0.0,0.0,0.01,4740.0,0.0
benchtree10.hs,0.45,122196.0,0.0,0.0,0.0,4504.0,0.0
bubblesort100.hs,0.44,121648.0,0.0,0.0,0.0,4568.0,0.0
factorial8.hs,0.44,121728.0,0.01,0.0,0.01,6596.0,0.0
bubblesort20.hs,0.49,121380.0,0.0,0.0,0.0,3616.0,0.0
mul16.hs,0.59,136948.0,0.18,0.0,0.18,10300.0,0.0
fib32.hs,0.43,121540.0,1.09,0.07,1.16,169192.0,0.0
benchexpr20.hs,0.44,121596.0,0.23,0.0,0.23,6308.0,0.0
binarysearch.hs,0.47,121468.0,2.02,0.12,2.15,171344.0,0.0
permutations7.hs,0.49,121576.0,0.07,0.0,0.08,9580.0,0.0
evalsym.hs,0.47,121728.0,9.89,0.06,9.95,6384.0,0.0
mul32.hs,23.98,1857984.0,0.75,0.0,0.75,14796.0,0.0
tautologyhard.hs,0.5,123456.0,0.0,0.0,0.0,3520.0,0.0
permutations6.hs,0.54,125080.0,0.0,0.0,0.0,5504.0,0.0
quicksort10.hs,0.57,124716.0,0.0,0.0,0.0,3336.0,0.0
revnat1000.hs,0.55,126572.0,0.07,0.0,0.07,4776.0,0.0
fibonacci21.hs,0.52,124904.0,0.0,0.0,0.0,4716.0,0.0
hanoi16.hs,0.62,124364.0,0.14,0.0,0.14,8456.0,0.0
hanoi8.hs,0.63,125076.0,0.0,0.0,0.0,4672.0,0.0
omul8.hs,12.18,787120.0,0.03,0.0,0.03,7856.0,0.0
sieve10000.hs,0.56,121868.0,43.73,0.07,43.85,7544.0,0.0
confluence.hs,0.61,125308.0,0.0,0.0,0.0,3228.0,0.0
factorial5.hs,0.57,121956.0,0.0,0.0,0.0,3488.0,0.0
benchexpr10.hs,0.79,134248.0,0.0,0.0,0.0,4220.0,0.0
garbagecollection.hs,0.65,124676.0,0.0,0.0,0.0,3428.0,0.0
missionaries2.hs,0.9,135280.0,0.0,0.0,0.0,4168.0,0.0
fibonacci19.hs,0.6,125036.0,0.0,0.0,0.0,4592.0,0.0
mergesort10.hs,0.66,125240.0,0.0,0.0,0.0,3424.0,0.0
hanoi4.hs,0.77,124884.0,0.0,0.0,0.0,3416.0,0.0
quicksort100.hs,0.6,121868.0,0.0,0.0,0.0,4752.0,0.0
langton7.hs,1.15,160348.0,99.94,0.25,100.23,16792.0,0.0
check1.hs,0.79,124680.0,0.0,0.0,0.0,3468.0,0.0
benchtree22.hs,0.89,134024.0,12.3,0.71,13.02,402744.0,0.0
searchinconditions.hs,0.73,125080.0,0.0,0.0,0.0,3228.0,0.0
benchsym20.hs,0.77,122104.0,0.26,0.0,0.26,5952.0,0.0
maa.hs,2.61,187212.0,1.86,0.01,1.88,13676.0,0.0
mul8.hs,14.96,785872.0,0.04,0.0,0.05,7748.0,0.0
sieve100.hs,0.85,124436.0,0.0,0.0,0.0,4216.0,0.0
oddeven.hs,0.84,126512.0,0.01,0.0,0.02,3248.0,0.0
calls.hs,0.83,124488.0,0.0,0.0,0.0,3400.0,0.0
evalexpr.hs,0.88,134056.0,0.46,0.0,0.46,6192.0,0.0
logic3.hs,0.79,124220.0,0.0,0.0,0.0,3604.0,0.0
bubblesort1000.hs,0.8,126200.0,0.96,0.0,0.97,4780.0,0.0
intnat.hs,8.68,455284.0,0.0,0.0,0.0,6252.0,0.0
hanoi12.hs,0.82,124500.0,0.0,0.0,0.01,4696.0,0.0
revnat100.hs,0.71,127180.0,0.0,0.0,0.0,4564.0,0.0
dart.hs,0.79,124568.0,0.01,0.0,0.01,6324.0,0.0
hanoi20.hs,0.77,124744.0,2.13,0.04,2.18,71980.0,0.0
sieve2000.hs,0.71,124388.0,0.62,0.0,0.62,5940.0,0.0
