test_name,kast_real_time,kast_max_mem,user_time,sys_time,real_time,max_mem,avg_mem
QuickSort10.k,1.69,199280.0,0.0,0.0,0.0,6516.0,0.0
EvalTree.k,2.09,148480.0,0.83,0.44,1.29,1744532.0,0.0
Closure.k,3.11,327536.0,0.04,0.01,0.05,30892.0,0.0
ADD16.k,95.18,6250940.0,1.04,0.07,1.11,178128.0,0.0
BenchExpr20.k,1.81,230388.0,0.26,0.12,0.38,314276.0,0.0
BenchExpr22.k,1.6,194768.0,0.78,0.4,1.19,1239744.0,0.0
Permutations7.k,2.1,140696.0,0.06,0.02,0.09,54420.0,0.0
FibFree.k,1.63,190540.0,0.0,0.0,0.0,5868.0,0.0
NatList.k,2.24,254748.0,0.01,0.0,0.01,7304.0,0.0
Dart.k,1.58,173320.0,0.01,0.0,0.01,13208.0,0.0
MergeSort10.k,2.27,168108.0,0.0,0.0,0.0,5776.0,0.0
Fibonacci20.k,1.61,164212.0,0.0,0.0,0.0,9216.0,0.0
Fibonacci19.k,1.52,171212.0,0.0,0.0,0.0,7688.0,0.0
BenchSym22.k,1.55,162664.0,0.99,0.3,1.3,1035316.0,0.0
Tak18.k,1.69,161264.0,0.01,0.0,0.01,12504.0,0.0
Tak36.k,2.15,199376.0,0.58,0.14,0.73,368236.0,0.0
Logic3.k,1.6,156460.0,0.0,0.0,0.0,5520.0,0.0
BenchExpr10.k,1.6,177740.0,0.0,0.0,0.01,6048.0,0.0
BubbleSort20.k,1.59,186996.0,0.0,0.0,0.0,5716.0,0.0
BubbleSort1000.k,1.53,162888.0,0.96,0.01,0.98,57196.0,0.0
IntNat.k,10.07,1265224.0,0.11,0.0,0.12,25156.0,0.0
RevNat100.k,1.54,166256.0,0.0,0.0,0.0,5652.0,0.0
Fib32.k,1.68,176680.0,1.68,0.76,2.45,2463400.0,0.0
Factorial6.k,1.54,182144.0,0.0,0.0,0.01,5792.0,0.0
BubbleSort720.k,1.68,174324.0,0.45,0.02,0.48,32732.0,0.0
BenchSym20.k,2.24,186916.0,0.25,0.06,0.32,263172.0,0.0
BinarySearch.k,1.64,186168.0,3.56,1.34,4.91,4791520.0,0.0
Sieve10000.k,1.64,153084.0,61.15,0.18,61.33,271068.0,0.0
Merge.k,1.8,228500.0,0.0,0.0,0.01,6012.0,0.0
MUL32.k,134.84,8846244.0,2.39,0.17,2.57,576296.0,0.0
OMUL32.k,172.9,8532412.0,2.19,0.12,2.32,546044.0,0.0
Permutations6.k,1.63,194384.0,0.0,0.0,0.01,7204.0,0.0
MAA.k,3.18,386876.0,1.94,0.27,2.22,910988.0,0.0
EvalExpr.k,2.31,162932.0,0.42,0.26,0.69,866788.0,0.0
Sieve100.k,1.59,169092.0,0.0,0.0,0.01,5932.0,0.0
ADD8.k,131.67,7961680.0,1.2,0.06,1.26,203528.0,0.0
Hanoi8.k,1.72,167052.0,0.0,0.0,0.0,5844.0,0.0
BubbleSort100.k,1.72,181548.0,0.0,0.0,0.01,6100.0,0.0
MUL8.k,36.21,2859316.0,0.39,0.04,0.44,81636.0,0.0
Fibonacci21.k,1.65,182688.0,0.0,0.0,0.0,9092.0,0.0
Factorial5.k,1.7,176932.0,0.0,0.0,0.0,5544.0,0.0
MUL16.k,88.29,4969560.0,1.11,0.09,1.2,209992.0,0.0
Factorial7.k,1.72,160048.0,0.0,0.0,0.0,7632.0,0.0
RevNat1000.k,2.04,166172.0,0.12,0.01,0.14,18340.0,0.0
BenchSym10.k,1.74,175264.0,0.0,0.0,0.01,6104.0,0.0
Sieve2000.k,1.77,174884.0,0.89,0.01,0.9,22952.0,0.0
Hanoi12.k,1.88,181916.0,0.0,0.0,0.01,8552.0,0.0
BubbleSort10.k,1.89,181424.0,0.0,0.0,0.0,5628.0,0.0
Sieve1000.k,2.14,220280.0,0.16,0.0,0.16,11208.0,0.0
RevNat10000.k,2.07,167692.0,10.36,0.7,11.07,1186948.0,0.0
OMUL8.k,43.18,2991776.0,0.46,0.04,0.5,83320.0,0.0
Sieve20.k,1.71,171600.0,0.0,0.0,0.0,5672.0,0.0
Fibonacci18.k,1.73,167448.0,0.0,0.01,0.01,7156.0,0.0
